<Name>,Layer1Thick,<porosity1>,<permX1>,<permY1>,AnisotropyRatio1   (X/Z),<permZ1>,Layer2Thick,<porosity2>,<permX2>,<permY2>,anisotropyRatio2   (X/Z),<permZ2>,<DomainDepth>,<zInBetweenLayers>,<AquiferLen>,<boundaryWaterTable>,<desiredTimeStep>,dX,<CellRatioX>,<nX>,dY,<CellRatioY>,<nY>,dZ,<CellRatioZ>,<nZ>,DistanceTo Contamination,<setbackDist>,Diameter LeakingPipe,<setbackPlusLeak>,<leakingYNorth>,<leakingYSouth>,LeakingFlow,<rateLeaking>,<rateExtraction>,<wellZTop>,<wellZBottom>,<wellXY>,wellDiameter,extractionFlux,<observationAtWell>,<obsTimeStep>,<warmUpTime>,Concentration,<initialConcentration>,<katt>,<kdet>,<decayAq>,<decayIm>
SandOnGravel_Domestic_001,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.27341509151188E-06,0
SandOnGravel_Domestic_002,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.99366186596782E-06,0
SandOnGravel_Domestic_003,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.19501521014786E-06,0
SandOnGravel_Domestic_004,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.54214192939638E-06,0
SandOnGravel_Domestic_005,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.41833461529775E-06,0
SandOnGravel_Domestic_006,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.40888527759276E-06,0
SandOnGravel_Domestic_007,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.45365845818391E-06,0
SandOnGravel_Domestic_008,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.12384397967902E-06,0
SandOnGravel_Domestic_009,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.63636189805884E-06,0
SandOnGravel_Domestic_010,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,2.1486341409065E-06,0
SandOnGravel_Domestic_011,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.48433465805327E-06,0
SandOnGravel_Domestic_012,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.52213121888691E-06,0
SandOnGravel_Domestic_013,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.59070867534698E-06,0
SandOnGravel_Domestic_014,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.48675439802036E-06,0
SandOnGravel_Domestic_015,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.79462880536316E-06,0
SandOnGravel_Domestic_016,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.1235609229784E-06,0
SandOnGravel_Domestic_017,10,0.35,1E-10,1E-10,10,1E-11,10,0.3,1E-08,1E-08,10,1E-09,20,10,300,19,75000,3.08901153793031,0.3,40,3.08901153793031,0.3,40,0.30890115379303,0.75,30,40,190,1,191,100,200,0.136,0.000446194225722,21.8,15,2,150,0.15,4.11868205057374E-05,8.5,12,2,6022,1.00E-20,0,0,1.78628177220451E-06,0
