Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Vaq Total Mas [mol],Region Region__all Vim Total Mas [mol]
1.00000000E-01,3.70000000E-02,6.60353565E-03,1.92464908E+06,1.70737489E-04,1.67779599E-05,-0.00000000E+00,-0.00000000E+00,5.97433925E-43,1.07444627E-41,3.42779160E+04,3.42784948E+05,3.47365710E-06,3.48879183E-05,-3.42700716E+04,-3.42648911E+05,-3.21035595E-06,-3.03523795E-05,-0.00000000E+00,-0.00000000E+00,2.75422877E-09,4.95171343E-08,-0.00000000E+00,-0.00000000E+00,2.75422874E-09,4.95171335E-08,-8.71760941E+00,-1.51172418E+02,-7.99620793E-10,-1.33903419E-08,8.71761199E-01,1.51172462E+01,8.71920000E-11,1.51200000E-09,1.92464908E+06,1.70737489E-04,1.67779599E-05
2.00000000E-01,3.60000000E-02,5.99337037E-03,1.92464908E+06,1.51842411E-04,3.06951691E-05,-0.00000000E+00,-0.00000000E+00,2.19377053E-42,2.00732324E-41,6.85577137E+04,3.42806847E+05,6.96664609E-06,3.49492725E-05,-6.85232998E+04,-3.42452701E+05,-6.05119180E-06,-2.68697243E-05,-0.00000000E+00,-0.00000000E+00,1.01066830E-08,9.24166230E-08,-0.00000000E+00,-0.00000000E+00,1.01066827E-08,9.24166166E-08,-3.82418225E+01,-3.93528198E+02,-3.23026002E-09,-3.08705211E-08,3.82418338E+00,3.93528314E+01,3.82488000E-10,3.93600000E-09,1.92464908E+06,1.51842411E-04,3.06951691E-05
3.00000000E-01,1.00000000E-01,1.06587480E-02,1.92464908E+06,1.35425795E-04,4.26140357E-05,-0.00000000E+00,-0.00000000E+00,4.65627763E-42,2.81783504E-41,1.02839184E+05,3.42814699E+05,1.04624216E-05,3.49615700E-05,-1.02761579E+05,-3.42382795E+05,-8.56589187E-06,-2.37981242E-05,-0.00000000E+00,-0.00000000E+00,2.14377029E-08,1.29608506E-07,-0.00000000E+00,-0.00000000E+00,2.14377013E-08,1.29608490E-07,-8.62330661E+01,-4.79912436E+02,-6.75384209E-09,-3.33418691E-08,8.62330916E+00,4.79912578E+01,8.62488000E-10,4.80000000E-09,1.92464908E+06,1.35425795E-04,4.26140357E-05
4.00000000E-01,1.00000000E-01,2.02944974E-03,1.92464908E+06,1.21157934E-04,5.28084779E-05,-0.00000000E+00,-0.00000000E+00,7.86845325E-42,3.52225972E-41,1.37122822E+05,3.42836385E+05,1.39589786E-05,3.49665023E-05,-1.36980431E+05,-3.42188521E+05,-1.07928884E-05,-2.10713866E-05,-0.00000000E+00,-0.00000000E+00,3.62047211E-08,1.61862676E-07,-0.00000000E+00,-0.00000000E+00,3.62047165E-08,1.61862639E-07,-1.58219931E+02,-7.19868654E+02,-1.14357409E-08,-4.42916943E-08,1.58219978E+01,7.19868867E+01,1.58248800E-09,7.20000000E-09,1.92464908E+06,1.21157934E-04,5.28084779E-05
5.00000000E-01,1.00000000E-01,3.37460813E-03,1.92464908E+06,1.08763576E-04,6.15078395E-05,-0.00000000E+00,-0.00000000E+00,1.17327154E-41,4.13418689E-41,1.71408628E+05,3.42858061E+05,1.74558942E-05,3.49693947E-05,-1.71179857E+05,-3.41994255E+05,-1.27650388E-05,-1.86587272E-05,-0.00000000E+00,-0.00000000E+00,5.39540466E-08,1.89821092E-07,-0.00000000E+00,-0.00000000E+00,5.39540364E-08,1.89821026E-07,-2.54202419E+02,-9.59824871E+02,-1.69647390E-08,-5.22988776E-08,2.54202494E+01,9.59825155E+01,2.54248800E-09,9.60000000E-09,1.92464908E+06,1.08763576E-04,6.15078395E-05
6.00000000E-01,1.00000000E-01,4.68332294E-03,1.92464908E+06,9.80011588E-05,6.89129343E-05,-0.00000000E+00,-0.00000000E+00,1.61635059E-41,4.66554279E-41,2.05696606E+05,3.42879777E+05,2.09530653E-05,3.49717712E-05,-2.05359853E+05,-3.41799958E+05,-1.45116278E-05,-1.65240142E-05,-0.00000000E+00,-0.00000000E+00,7.42887847E-08,2.14045763E-07,-0.00000000E+00,-0.00000000E+00,7.42887656E-08,2.14045662E-07,-3.74180527E+02,-1.19978109E+03,-2.30857419E-08,-5.78931148E-08,3.74180638E+01,1.19978144E+02,3.74248800E-09,1.20000000E-08,1.92464908E+06,9.80011588E-05,6.89129343E-05
7.00000000E-01,1.00000000E-01,5.95706557E-03,1.92464908E+06,8.86598030E-05,7.51985336E-05,-0.00000000E+00,-0.00000000E+00,2.10862625E-41,5.12673887E-41,2.39986749E+05,3.42901429E+05,2.44504644E-05,3.49740018E-05,-2.39520423E+05,-3.41605704E+05,-1.60585874E-05,-1.46352595E-05,-0.00000000E+00,-0.00000000E+00,9.68637999E-08,2.35026220E-07,-0.00000000E+00,-0.00000000E+00,9.68637681E-08,2.35026081E-07,-5.18154258E+02,-1.43973730E+03,-2.95908362E-08,-6.15216246E-08,5.18154411E+01,1.43973773E+02,5.18248800E-09,1.44000000E-08,1.92464908E+06,8.86598030E-05,7.51985336E-05
8.00000000E-01,1.00000000E-01,7.19720986E-03,1.92464908E+06,8.05554410E-05,8.05166649E-05,-0.00000000E+00,-0.00000000E+00,2.64360324E-41,5.52686280E-41,2.74279060E+05,3.42923114E+05,2.79480844E-05,3.49761969E-05,-2.73661565E+05,-3.41411421E+05,-1.74288771E-05,-1.29641329E-05,-0.00000000E+00,-0.00000000E+00,1.21379089E-07,2.53188795E-07,-0.00000000E+00,-0.00000000E+00,1.21379041E-07,2.53188616E-07,-6.86123610E+02,-1.67969352E+03,-3.63118726E-08,-6.35610065E-08,6.86123814E+01,1.67969402E+02,6.86248800E-09,1.68000000E-08,1.92464908E+06,8.05554410E-05,8.05166649E-05
9.00000000E-01,1.00000000E-01,8.40507259E-03,1.92464908E+06,7.35274553E-05,8.49995010E-05,-0.00000000E+00,-0.00000000E+00,3.21562580E-41,5.87384449E-41,3.08573539E+05,3.42944792E+05,3.14459231E-05,3.49783804E-05,-3.07783280E+05,-3.41217145E+05,-1.86428216E-05,-1.14855564E-05,-0.00000000E+00,-0.00000000E+00,1.47573992E-07,2.68904687E-07,-0.00000000E+00,-0.00000000E+00,1.47573922E-07,2.68904468E-07,-8.78088584E+02,-1.91964974E+03,-4.31141165E-08,-6.43274962E-08,8.78088844E+01,1.91965031E+02,8.78248800E-09,1.92000000E-08,1.92464908E+06,7.35274553E-05,8.49995010E-05
1.00000000E+00,1.00000000E-01,9.58189613E-03,1.92464908E+06,6.74357390E-05,8.87618910E-05,-0.00000000E+00,-0.00000000E+00,3.81977128E-41,6.17460123E-41,3.42870187E+05,3.42966474E+05,3.49439800E-05,3.49805611E-05,-3.41885566E+05,-3.41022862E+05,-1.97184114E-05,-1.01773306E-05,-0.00000000E+00,-0.00000000E+00,1.75222125E-07,2.82496984E-07,-0.00000000E+00,-0.00000000E+00,1.75222031E-07,2.82496725E-07,-1.09404918E+03,-2.15960595E+03,-4.98908235E-08,-6.40858150E-08,1.09404950E+02,2.15960660E+02,1.09424880E-08,2.16000000E-08,1.92464908E+06,6.74357390E-05,8.87618910E-05
