Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.05000000E-01,1.39977770E+08,1.04227610E-02,2.97108677E-05,-0.00000000E+00,-0.00000000E+00,2.71272365E-40,4.41533499E-40,1.73804487E+06,1.73822490E+06,1.73832008E-04,1.73850015E-04,-1.73731773E+06,-1.73712145E+06,-1.46341812E-04,-1.29049013E-04,-0.00000000E+00,-0.00000000E+00,2.69587512E-40,4.38791227E-40,-0.00000000E+00,-0.00000000E+00,2.69587512E-40,4.38791228E-40,-8.08069269E+02,-1.22620526E+03,-6.49142633E-08,-9.10935194E-08,8.08069418E+01,1.22620549E+02,8.08197600E-09,1.22640000E-08,7.76992107E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,1.04000000E-01,1.39977770E+08,2.04202070E+02,2.19902709E-05,-0.00000000E+00,-0.00000000E+00,-1.44689710E-35,-2.52026418E-35,3.47677492E+06,1.73873018E+06,3.47732545E-04,1.73900550E-04,-3.47388825E+06,-1.73657063E+06,-2.56103127E-04,-9.54843506E-05,-0.00000000E+00,-0.00000000E+00,8.95558364E-40,7.64248582E-40,-0.00000000E+00,-0.00000000E+00,8.95558365E-40,7.64248583E-40,-3.20768818E+03,-2.39961891E+03,-2.26034662E-07,-1.81195301E-07,3.20768877E+02,2.39961935E+02,2.40000000E+02,2.40000000E+02,7.76992106E+06,1.63109165E+09
3.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977770E+08,3.55233998E+02,1.62796728E-05,-0.00000000E+00,-0.00000000E+00,-5.04212387E-35,-4.38442969E-35,5.21550556E+06,1.73873064E+06,5.21633142E-04,1.73900597E-04,-5.21045935E+06,-1.73657110E+06,-3.37288945E-04,-7.06882779E-05,-0.00000000E+00,-0.00000000E+00,1.79715446E-39,1.00201388E-39,-0.00000000E+00,-0.00000000E+00,1.79715446E-39,1.00201388E-39,-5.60730708E+03,-2.39961891E+03,-2.38101369E-06,-6.95094475E-06,5.60730812E+02,2.39961935E+02,4.80000000E+02,2.40000000E+02,7.76992106E+06,1.63109180E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977769E+08,4.67044797E+02,1.20520455E-05,-0.00000000E+00,-0.00000000E+00,-1.02223617E-34,-5.76449441E-35,6.95423666E+06,1.73873110E+06,6.95533785E-04,1.73900643E-04,-6.94703090E+06,-1.73657156E+06,-3.97391838E-04,-5.23314301E-05,-0.00000000E+00,-0.00000000E+00,2.89958828E-39,1.17584921E-39,-0.00000000E+00,-0.00000000E+00,2.89958828E-39,1.17584922E-39,-8.00692599E+03,-2.39961890E+03,-5.40769358E-05,-1.26781195E-04,8.00692747E+02,2.39961935E+02,7.20000000E+02,2.40000000E+02,7.76992105E+06,1.63109191E+09
5.00000000E+00,1.00000000E+00,1.04000000E-01,1.39977769E+08,5.49764763E+02,8.92434521E-06,-0.00000000E+00,-0.00000000E+00,-1.65782083E-34,-6.78549514E-35,8.69296822E+06,1.73873156E+06,8.69434473E-04,1.73900688E-04,-8.68360291E+06,-1.73657201E+06,-4.41857414E-04,-3.87505891E-05,-0.00000000E+00,-0.00000000E+00,4.14911925E-39,1.30283706E-39,-0.00000000E+00,-0.00000000E+00,4.14911926E-39,1.30283706E-39,-1.04065449E+04,-2.39961890E+03,-5.19167078E-04,-9.13294297E-04,1.04065468E+03,2.39961935E+02,9.60000000E+02,2.40000000E+02,7.76992104E+06,1.63109199E+09
6.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977769E+08,6.10187623E+02,6.63964709E-06,-0.00000000E+00,-0.00000000E+00,-2.38350470E-34,-7.53128587E-35,1.04317002E+07,1.73873200E+06,1.04333521E-03,1.73900733E-04,-1.04201754E+07,-1.73657246E+06,-4.74338288E-04,-2.88301600E-05,-0.00000000E+00,-0.00000000E+00,5.50989784E-39,1.39437531E-39,-0.00000000E+00,-0.00000000E+00,5.50989784E-39,1.39437531E-39,-1.28061638E+04,-2.39961890E+03,-3.05630073E-03,-4.00302404E-03,1.28061662E+03,2.39961934E+02,1.20000000E+03,2.40000000E+02,7.76992104E+06,1.63109205E+09
7.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977769E+08,6.55137023E+02,4.93984852E-06,-0.00000000E+00,-0.00000000E+00,-3.17169769E-34,-8.08608988E-35,1.21704327E+07,1.73873245E+06,1.21723598E-03,1.73900777E-04,-1.21567483E+07,-1.73657290E+06,-4.98503825E-04,-2.14494319E-05,-0.00000000E+00,-0.00000000E+00,6.94684391E-39,1.46162893E-39,-0.00000000E+00,-0.00000000E+00,6.94684391E-39,1.46162893E-39,-1.52057827E+04,-2.39961890E+03,-1.11768019E-02,-1.14629754E-02,1.52057855E+03,2.39961934E+02,1.44000000E+03,2.40000000E+02,7.76992103E+06,1.63109210E+09
8.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977769E+08,6.88569620E+02,3.67521091E-06,-0.00000000E+00,-0.00000000E+00,-4.00638777E-34,-8.49874365E-35,1.39091656E+07,1.73873289E+06,1.39113680E-03,1.73900821E-04,-1.38933216E+07,-1.73657333E+06,-5.16482811E-04,-1.59582232E-05,-0.00000000E+00,-0.00000000E+00,8.43974543E-39,1.51103261E-39,-0.00000000E+00,-0.00000000E+00,8.43974543E-39,1.51103261E-39,-1.76054016E+04,-2.39961890E+03,-3.04010897E-02,-2.50785007E-02,1.76054048E+03,2.39961934E+02,1.68000000E+03,2.40000000E+02,7.76992103E+06,1.63109213E+09
9.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977769E+08,7.13428216E+02,2.73432984E-06,-0.00000000E+00,-0.00000000E+00,-4.87565554E-34,-8.80556975E-35,1.56478989E+07,1.73873332E+06,1.56503767E-03,1.73900865E-04,-1.56298954E+07,-1.73657376E+06,-5.29859048E-04,-1.18728036E-05,-0.00000000E+00,-0.00000000E+00,9.97374720E-39,1.54731800E-39,-0.00000000E+00,-0.00000000E+00,9.97374720E-39,1.54731800E-39,-2.00050205E+04,-2.39961889E+03,-6.73799627E-02,-4.54795603E-02,2.00050242E+03,2.39961934E+02,1.92000000E+03,2.40000000E+02,7.76992102E+06,1.63109216E+09
1.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977769E+08,7.31902475E+02,2.03432126E-06,-0.00000000E+00,-0.00000000E+00,-5.77062625E-34,-9.03359489E-35,1.73866326E+07,1.73873374E+06,1.73893858E-03,1.73900907E-04,-1.73664696E+07,-1.73657419E+06,-5.39810873E-04,-8.83328343E-06,-0.00000000E+00,-0.00000000E+00,1.15379328E-38,1.57396394E-39,-0.00000000E+00,-0.00000000E+00,1.15379328E-38,1.57396394E-39,-2.24046394E+04,-2.39961889E+03,-1.28508593E-01,-7.18453312E-02,2.24046435E+03,2.39961934E+02,2.16000000E+03,2.40000000E+02,7.76992101E+06,1.63109217E+09
1.10000000E+01,1.00000000E+00,2.32000000E-01,1.39977769E+08,7.45622825E+02,1.51352004E-06,-0.00000000E+00,-0.00000000E+00,-6.68469144E-34,-9.20294321E-35,1.91253668E+07,1.73873417E+06,1.91283953E-03,1.73900950E-04,-1.91030442E+07,-1.73657461E+06,-5.47214970E-04,-6.57191822E-06,-0.00000000E+00,-0.00000000E+00,1.31242815E-38,1.59352785E-39,-0.00000000E+00,-0.00000000E+00,1.31242815E-38,1.59352785E-39,-2.48042583E+04,-2.39961889E+03,-2.18617950E-01,-1.02201609E-01,2.48042628E+03,2.39961933E+02,2.40000000E+03,2.40000000E+02,7.76992101E+06,1.63109219E+09
1.20000000E+01,1.00000000E+00,2.32000000E-01,1.39977769E+08,7.55804270E+02,1.12604776E-06,-0.00000000E+00,-0.00000000E+00,-7.61293098E-34,-9.32861133E-35,2.08641014E+07,1.73873458E+06,2.08674052E-03,1.73900991E-04,-2.08396192E+07,-1.73657502E+06,-5.52723622E-04,-4.88955616E-06,-0.00000000E+00,-0.00000000E+00,1.47269010E-38,1.60788945E-39,-0.00000000E+00,-0.00000000E+00,1.47269010E-38,1.60788945E-39,-2.72038771E+04,-2.39961889E+03,-3.40190734E-01,-1.34047895E-01,2.72038822E+03,2.39961933E+02,2.64000000E+03,2.40000000E+02,7.76992100E+06,1.63109220E+09
1.30000000E+01,1.00000000E+00,2.32000000E-01,1.39977769E+08,7.63352837E+02,8.37771246E-07,-0.00000000E+00,-0.00000000E+00,-8.55168340E-34,-9.42178222E-35,2.26028364E+07,1.73873499E+06,2.26064155E-03,1.73901032E-04,-2.25761946E+07,-1.73657543E+06,-5.56822274E-04,-3.63820017E-06,-0.00000000E+00,-0.00000000E+00,1.63414635E-38,1.61843019E-39,-0.00000000E+00,-0.00000000E+00,1.63414635E-38,1.61843019E-39,-2.96034960E+04,-2.39961889E+03,-4.93231701E-01,-1.64992818E-01,2.96035015E+03,2.39961933E+02,2.88000000E+03,2.40000000E+02,7.76992100E+06,1.63109221E+09
1.40000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.68944339E+02,6.23295638E-07,-0.00000000E+00,-0.00000000E+00,-9.49822599E-34,-9.49079732E-35,2.43415718E+07,1.73873540E+06,2.43454262E-03,1.73901073E-04,-2.43127705E+07,-1.73657584E+06,-5.59872592E-04,-2.70824883E-06,-0.00000000E+00,-0.00000000E+00,1.79647906E-38,1.62616514E-39,-0.00000000E+00,-0.00000000E+00,1.79647906E-38,1.62616514E-39,-3.20031149E+04,-2.39961888E+03,-6.75661827E-01,-1.93189546E-01,3.20031208E+03,2.39961933E+02,3.12000000E+03,2.40000000E+02,7.76992099E+06,1.63109221E+09
1.50000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.73082744E+02,4.63727365E-07,-0.00000000E+00,-0.00000000E+00,-1.04505362E-33,-9.54187707E-35,2.60803075E+07,1.73873580E+06,2.60844374E-03,1.73901113E-04,-2.60493467E+07,-1.73657623E+06,-5.62145099E-04,-2.01946099E-06,-0.00000000E+00,-0.00000000E+00,1.95945485E-38,1.63184008E-39,-0.00000000E+00,-0.00000000E+00,1.95945485E-38,1.63184008E-39,-3.44027338E+04,-2.39961888E+03,-8.83990324E-01,-2.17513288E-01,3.44027402E+03,2.39961933E+02,3.36000000E+03,2.40000000E+02,7.76992099E+06,1.63109222E+09
1.60000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.76143574E+02,3.45009745E-07,-0.00000000E+00,-0.00000000E+00,-1.14071134E-33,-9.57965646E-35,2.78190437E+07,1.73873619E+06,2.78234489E-03,1.73901152E-04,-2.77859233E+07,-1.73657663E+06,-5.63844713E-04,-1.51506832E-06,-0.00000000E+00,-0.00000000E+00,2.12290241E-38,1.63600282E-39,-0.00000000E+00,-0.00000000E+00,2.12290241E-38,1.63600282E-39,-3.68023527E+04,-2.39961888E+03,-1.11402990E+00,-2.37528482E-01,3.68023595E+03,2.39961933E+02,3.60000000E+03,2.40000000E+02,7.76992098E+06,1.63109222E+09
1.70000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.78406281E+02,2.56684715E-07,-0.00000000E+00,-0.00000000E+00,-1.23668455E-33,-9.60758473E-35,2.95577803E+07,1.73873658E+06,2.95624608E-03,1.73901191E-04,-2.95225003E+07,-1.73657701E+06,-5.65132147E-04,-1.15871274E-06,-0.00000000E+00,-0.00000000E+00,2.28669598E-38,1.63905568E-39,-0.00000000E+00,-0.00000000E+00,2.28669598E-38,1.63905568E-39,-3.92019715E+04,-2.39961888E+03,-1.36149806E+00,-2.53334554E-01,3.92019788E+03,2.39961933E+02,3.84000000E+03,2.40000000E+02,7.76992098E+06,1.63109222E+09
1.80000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.80078501E+02,1.90971541E-07,-0.00000000E+00,-0.00000000E+00,-1.33289096E-33,-9.62822470E-35,3.12965173E+07,1.73873696E+06,3.13014731E-03,1.73901229E-04,-3.12590777E+07,-1.73657739E+06,-5.66143832E-04,-9.33963806E-07,-0.00000000E+00,-0.00000000E+00,2.45074327E-38,1.64129412E-39,-0.00000000E+00,-0.00000000E+00,2.45074327E-38,1.64129412E-39,-4.16015904E+04,-2.39961888E+03,-1.62243516E+00,-2.65373242E-01,4.16015981E+03,2.39961932E+02,4.08000000E+03,2.40000000E+02,7.76992097E+06,1.63109222E+09
1.90000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.81314245E+02,1.42081423E-07,-0.00000000E+00,-0.00000000E+00,-1.42926968E-33,-9.64347730E-35,3.30352546E+07,1.73873734E+06,3.30404858E-03,1.73901267E-04,-3.29956555E+07,-1.73657777E+06,-5.67012745E-04,-8.46042100E-07,-0.00000000E+00,-0.00000000E+00,2.61497658E-38,1.64293504E-39,-0.00000000E+00,-0.00000000E+00,2.61497658E-38,1.64293504E-39,-4.40012093E+04,-2.39961887E+03,-1.89343716E+00,-2.74253225E-01,4.40012175E+03,2.39961932E+02,4.32000000E+03,2.40000000E+02,7.76992097E+06,1.63109222E+09
2.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.82227557E+02,1.05707535E-07,-0.00000000E+00,-0.00000000E+00,-1.52577575E-33,-9.65475019E-35,3.47739923E+07,1.73873771E+06,3.47794988E-03,1.73901304E-04,-3.47322336E+07,-1.73657814E+06,-5.67891945E-04,-9.25057624E-07,-0.00000000E+00,-0.00000000E+00,2.77934623E-38,1.64413768E-39,-0.00000000E+00,-0.00000000E+00,2.77934623E-38,1.64413768E-39,-4.64008282E+04,-2.39961887E+03,-2.17173861E+00,-2.80618557E-01,4.64008368E+03,2.39961932E+02,4.56000000E+03,2.40000000E+02,7.76992096E+06,1.63109222E+09
2.10000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.82902771E+02,7.86456290E-08,-0.00000000E+00,-0.00000000E+00,-1.62237597E-33,-9.66308426E-35,3.65127304E+07,1.73873807E+06,3.65185122E-03,1.73901341E-04,-3.64688121E+07,-1.73657850E+06,-5.68981711E-04,-1.22966151E-06,-0.00000000E+00,-0.00000000E+00,2.94381580E-38,1.64501890E-39,-0.00000000E+00,-0.00000000E+00,2.94381580E-38,1.64501890E-39,-4.88004470E+04,-2.39961887E+03,-2.45519388E+00,-2.85065637E-01,4.88004561E+03,2.39961932E+02,4.80000000E+03,2.40000000E+02,7.76992096E+06,1.63109223E+09
2.20000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.83402174E+02,5.85117699E-08,-0.00000000E+00,-0.00000000E+00,-1.71904579E-33,-9.66924832E-35,3.82514688E+07,1.73873843E+06,3.82575260E-03,1.73901377E-04,-3.82053910E+07,-1.73657886E+06,-5.70559816E-04,-1.84966020E-06,-0.00000000E+00,-0.00000000E+00,3.10835857E-38,1.64566445E-39,-0.00000000E+00,-0.00000000E+00,3.10835857E-38,1.64566445E-39,-5.12000659E+04,-2.39961887E+03,-2.74220114E+00,-2.88101338E-01,5.12000754E+03,2.39961932E+02,5.04000000E+03,2.40000000E+02,7.76992095E+06,1.63109223E+09
2.30000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.83771737E+02,4.35323268E-08,-0.00000000E+00,-0.00000000E+00,-1.81576712E-33,-9.67380978E-35,3.99902076E+07,1.73873879E+06,3.99965401E-03,1.73901413E-04,-3.99419702E+07,-1.73657921E+06,-5.73012951E-04,-2.90602518E-06,-0.00000000E+00,-0.00000000E+00,3.27295495E-38,1.64613724E-39,-0.00000000E+00,-0.00000000E+00,3.27295495E-38,1.64613724E-39,-5.35996848E+04,-2.39961887E+03,-3.03160347E+00,-2.90130460E-01,5.35996947E+03,2.39961932E+02,5.28000000E+03,2.40000000E+02,7.76992095E+06,1.63109223E+09
2.40000000E+01,1.00000000E+00,2.32000000E-01,1.39977768E+08,7.84045374E+02,3.23877312E-08,-0.00000000E+00,-0.00000000E+00,-1.91252658E-33,-9.67718724E-35,4.17289467E+07,1.73873913E+06,4.17355546E-03,1.73901447E-04,-4.16785498E+07,-1.73657956E+06,-5.76865849E-04,-4.54696973E-06,-0.00000000E+00,-0.00000000E+00,3.43759060E-38,1.64648341E-39,-0.00000000E+00,-0.00000000E+00,3.43759060E-38,1.64648341E-39,-5.59993037E+04,-2.39961887E+03,-3.32258892E+00,-2.91461025E-01,5.59993141E+03,2.39961932E+02,5.52000000E+03,2.40000000E+02,7.76992094E+06,1.63109223E+09
2.50000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84248103E+02,2.40962340E-08,-0.00000000E+00,-0.00000000E+00,-2.00931427E-33,-9.67968950E-35,4.34676862E+07,1.73873948E+06,4.34745694E-03,1.73901482E-04,-4.34151297E+07,-1.73657990E+06,-5.82803680E-04,-6.93937682E-06,-0.00000000E+00,-0.00000000E+00,3.60225499E-38,1.64673681E-39,-0.00000000E+00,-0.00000000E+00,3.60225499E-38,1.64673681E-39,-5.83989225E+04,-2.39961887E+03,-3.61460198E+00,-2.92318368E-01,5.83989334E+03,2.39961932E+02,5.76000000E+03,2.40000000E+02,7.76992094E+06,1.63109223E+09
2.60000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84398386E+02,1.79274210E-08,-0.00000000E+00,-0.00000000E+00,-2.10612290E-33,-9.68154442E-35,4.52064260E+07,1.73873981E+06,4.52135846E-03,1.73901516E-04,-4.51517099E+07,-1.73658024E+06,-5.91683095E-04,-1.02557485E-05,-0.00000000E+00,-0.00000000E+00,3.76694041E-38,1.64692225E-39,-0.00000000E+00,-0.00000000E+00,3.76694041E-38,1.64692225E-39,-6.07985414E+04,-2.39961886E+03,-3.90727102E+00,-2.92861984E-01,6.07985527E+03,2.39961932E+02,6.00000000E+03,2.40000000E+02,7.76992093E+06,1.63109223E+09
2.70000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84509849E+02,1.33378695E-08,-0.00000000E+00,-0.00000000E+00,-2.20294704E-33,-9.68292020E-35,4.69451662E+07,1.73874014E+06,4.69526000E-03,1.73901549E-04,-4.68882905E+07,-1.73658057E+06,-6.04528060E-04,-1.46578108E-05,-0.00000000E+00,-0.00000000E+00,3.93164123E-38,1.64705792E-39,-0.00000000E+00,-0.00000000E+00,3.93164123E-38,1.64705792E-39,-6.31981602E+04,-2.39961886E+03,-4.20035247E+00,-2.93201618E-01,6.31981720E+03,2.39961932E+02,6.24000000E+03,2.40000000E+02,7.76992093E+06,1.63109223E+09
2.80000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84592561E+02,9.92327686E-09,-0.00000000E+00,-0.00000000E+00,-2.29978269E-33,-9.68394110E-35,4.86839066E+07,1.73874047E+06,4.86916159E-03,1.73901581E-04,-4.86248714E+07,-1.73658089E+06,-6.22508264E-04,-2.02787178E-05,-0.00000000E+00,-0.00000000E+00,4.09635330E-38,1.64715714E-39,-0.00000000E+00,-0.00000000E+00,4.09635330E-38,1.64715714E-39,-6.55977791E+04,-2.39961886E+03,-4.49368956E+00,-2.93410940E-01,6.55977913E+03,2.39961931E+02,6.48000000E+03,2.40000000E+02,7.76992092E+06,1.63109223E+09
2.90000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84653964E+02,7.38284506E-09,-0.00000000E+00,-0.00000000E+00,-2.39662690E-33,-9.68469898E-35,5.04226474E+07,1.73874079E+06,5.04306320E-03,1.73901613E-04,-5.03614526E+07,-1.73658121E+06,-6.46900148E-04,-2.72062571E-05,-0.00000000E+00,-0.00000000E+00,4.26107361E-38,1.64722969E-39,-0.00000000E+00,-0.00000000E+00,4.26107361E-38,1.64722969E-39,-6.79973980E+04,-2.39961886E+03,-4.78718307E+00,-2.93538341E-01,6.79974106E+03,2.39961931E+02,6.72000000E+03,2.40000000E+02,7.76992092E+06,1.63109223E+09
3.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977767E+08,7.84699562E+02,5.49278246E-09,-0.00000000E+00,-0.00000000E+00,-2.49347744E-33,-9.68526179E-35,5.21613885E+07,1.73874110E+06,5.21696484E-03,1.73901645E-04,-5.20980341E+07,-1.73658152E+06,-6.79033026E-04,-3.54694524E-05,-0.00000000E+00,-0.00000000E+00,4.42579994E-38,1.64728272E-39,-0.00000000E+00,-0.00000000E+00,4.42579994E-38,1.64728272E-39,-7.03970168E+04,-2.39961886E+03,-5.08077116E+00,-2.93614995E-01,7.03970300E+03,2.39961931E+02,6.96000000E+03,2.40000000E+02,7.76992092E+06,1.63109223E+09
