Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,9.00000000E-03,1.39977737E+08,6.34845054E-03,4.83783549E-03,-0.00000000E+00,-0.00000000E+00,5.63274894E-40,9.44419819E-40,8.69195835E+05,8.69375731E+05,8.69333873E-05,8.69513798E-05,-8.68468612E+05,-8.68272187E+05,-5.84951868E-05,-3.92498822E-05,-0.00000000E+00,-0.00000000E+00,5.59776399E-40,9.38554169E-40,-0.00000000E+00,-0.00000000E+00,5.59776399E-40,9.38554169E-40,-8.08069081E+02,-1.22620498E+03,-4.79103137E-08,-5.54234204E-08,8.08069156E+01,1.22620509E+02,8.08197600E-09,1.22640000E-08,7.76991927E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,8.00000000E-03,1.39977737E+08,1.61571159E+02,4.90135431E+01,-0.00000000E+00,-0.00000000E+00,-1.18896242E-35,-1.99407693E-35,1.73907640E+06,8.69880591E+05,1.73935259E-04,8.70018738E-05,-1.73618956E+06,-8.67720963E+05,-8.49060418E-05,-1.77344748E-05,-0.00000000E+00,-0.00000000E+00,1.74991345E-39,1.36014153E-39,-0.00000000E+00,-0.00000000E+00,1.74991345E-39,1.36014153E-39,-3.20768743E+03,-2.39961835E+03,-1.20924292E-07,-4.90221368E-08,3.20768773E+02,2.39961858E+02,2.40000000E+02,2.40000000E+02,7.76991927E+06,1.63109160E+09
3.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.34763690E+02,1.53241722E+02,-0.00000000E+00,-0.00000000E+00,-3.71775966E-35,-2.89748189E-35,2.60895705E+06,8.69880650E+05,2.60937138E-04,8.70018797E-05,-2.60391058E+06,-8.67721022E+05,-9.68760249E-05,-7.99481700E-06,-0.00000000E+00,-0.00000000E+00,3.22254459E-39,1.55004272E-39,-0.00000000E+00,-0.00000000E+00,3.22254459E-39,1.55004272E-39,-5.60730579E+03,-2.39961835E+03,-1.54621942E-07,-2.45121168E-08,5.60730631E+02,2.39961857E+02,4.80000000E+02,2.40000000E+02,7.76991926E+06,1.63109168E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.67744003E+02,2.82596869E+02,-0.00000000E+00,-0.00000000E+00,-6.85618547E-35,-3.30455318E-35,3.47883776E+06,8.69880709E+05,3.47939024E-04,8.70018856E-05,-3.47163167E+06,-8.67721081E+05,-1.02272171E-04,-3.60411565E-06,-0.00000000E+00,-0.00000000E+00,4.82298296E-39,1.63511855E-39,-0.00000000E+00,-0.00000000E+00,4.82298296E-39,1.63511855E-39,-8.00692414E+03,-2.39961835E+03,-1.87910081E-07,-5.88199691E-08,8.00692488E+02,2.39961857E+02,7.20000000E+02,2.40000000E+02,7.76991926E+06,1.63109171E+09
5.00000000E+00,1.00000000E+00,7.20000000E-02,1.39977737E+08,2.82518898E+02,4.23328001E+02,-0.00000000E+00,-0.00000000E+00,-1.02706038E-34,-3.48691759E-35,4.34871853E+06,8.69880767E+05,4.34940916E-04,8.70018915E-05,-4.33935280E+06,-8.67721139E+05,-1.04690773E-04,-1.63616317E-06,-0.00000000E+00,-0.00000000E+00,6.48094685E-39,1.67301067E-39,-0.00000000E+00,-0.00000000E+00,6.48094685E-39,1.67301067E-39,-1.04065425E+04,-2.39961835E+03,-3.70111861E-07,-3.56902251E-07,1.04065435E+03,2.39961857E+02,9.60000000E+02,2.40000000E+02,7.76991926E+06,1.63109172E+09
6.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.89175445E+02,5.69132083E+02,-0.00000000E+00,-0.00000000E+00,-1.38080935E-34,-3.56907840E-35,5.21859935E+06,8.69880825E+05,5.21942813E-04,8.70018973E-05,-5.20707400E+06,-8.67721197E+05,-1.05780964E-04,-7.49104215E-07,-0.00000000E+00,-0.00000000E+00,8.16441286E-39,1.68998439E-39,-0.00000000E+00,-0.00000000E+00,8.16441286E-39,1.68998439E-39,-1.28061608E+04,-2.39961835E+03,-1.20836028E-06,-1.37353703E-06,1.28061620E+03,2.39961857E+02,1.20000000E+03,2.40000000E+02,7.76991926E+06,1.63109173E+09
7.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.92221605E+02,7.17192218E+02,-0.00000000E+00,-0.00000000E+00,-1.74003146E-34,-3.60667673E-35,6.08848024E+06,8.69880883E+05,6.08944716E-04,8.70019031E-05,-6.07479526E+06,-8.67721254E+05,-1.06280098E-04,-3.42971367E-07,-0.00000000E+00,-0.00000000E+00,9.85915498E-39,1.69770830E-39,-0.00000000E+00,-0.00000000E+00,9.85915498E-39,1.69770830E-39,-1.52057792E+04,-2.39961835E+03,-3.68004637E-06,-3.55937431E-06,1.52057806E+03,2.39961857E+02,1.44000000E+03,2.40000000E+02,7.76991926E+06,1.63109173E+09
8.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.93615573E+02,8.66284779E+02,-0.00000000E+00,-0.00000000E+00,-2.10175818E-34,-3.62388227E-35,6.95836118E+06,8.69880940E+05,6.95946625E-04,8.70019088E-05,-6.94251657E+06,-8.67721311E+05,-1.06508623E-04,-1.57026728E-07,-0.00000000E+00,-0.00000000E+00,1.15590282E-38,1.70122295E-39,-0.00000000E+00,-0.00000000E+00,1.15590282E-38,1.70122295E-39,-1.76053975E+04,-2.39961835E+03,-9.07026586E-06,-7.06242802E-06,1.76053992E+03,2.39961857E+02,1.68000000E+03,2.40000000E+02,7.76991926E+06,1.63109174E+09
9.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.94253466E+02,1.01584980E+03,-0.00000000E+00,-0.00000000E+00,-2.46463104E-34,-3.63175570E-35,7.82824217E+06,8.69880997E+05,7.82948539E-04,8.70019145E-05,-7.81023794E+06,-8.67721368E+05,-1.06613252E-04,-7.18934553E-08,-0.00000000E+00,-0.00000000E+00,1.32612363E-38,1.70282218E-39,-0.00000000E+00,-0.00000000E+00,1.32612363E-38,1.70282218E-39,-2.00050159E+04,-2.39961835E+03,-1.85770714E-05,-1.16087841E-05,2.00050177E+03,2.39961857E+02,1.92000000E+03,2.40000000E+02,7.76991925E+06,1.63109174E+09
1.00000000E+01,1.00000000E+00,4.00000000E-02,1.39977737E+08,2.94545367E+02,1.16563102E+03,-0.00000000E+00,-0.00000000E+00,-2.82802838E-34,-3.63535859E-35,8.69812323E+06,8.69881054E+05,8.69950459E-04,8.70019202E-05,-8.67795936E+06,-8.67721425E+05,-1.06661155E-04,-3.29158734E-08,-0.00000000E+00,-0.00000000E+00,1.49645067E-38,1.70354983E-39,-0.00000000E+00,-0.00000000E+00,1.49645067E-38,1.70354983E-39,-2.24046342E+04,-2.39961835E+03,-3.29487660E-05,-1.66392492E-05,2.24046363E+03,2.39961857E+02,2.16000000E+03,2.40000000E+02,7.76991925E+06,1.63109174E+09
