Time,Concentration
.0000,.0000
.0500,.0000
.1000,.0000
.1500,.0000
.2000,.0000
.2500,.0000
.3000,.0000
.3500,.0000
.4000,.0000
.4500,.0000
.5000,.0000
.5500,.0000
.6000,.0000
.6500,.0000
.7000,.0000
.7500,.0000
.8000,.0000
.8500,.0000
.9000,.0000
.9500,.0000
1.0000,.1850
1.0500,.3697
1.1000,.3716
1.1500,.3734
1.2000,.3752
1.2500,.3770
1.3000,.3788
1.3500,.3806
1.4000,.3825
1.4500,.3843
1.5000,.3860
1.5500,.3878
1.6000,.3896
1.6500,.3914
1.7000,.3932
1.7500,.3950
1.8000,.3967
1.8500,.3985
1.9000,.4003
1.9500,.4020
2.0000,.4038
2.0500,.4055
2.1000,.4073
2.1500,.4090
2.2000,.4107
2.2500,.4125
2.3000,.4142
2.3500,.4159
2.4000,.4176
2.4500,.4193
2.5000,.4210
2.5500,.4227
2.6000,.4244
2.6500,.4261
2.7000,.4278
2.7500,.4295
2.8000,.4312
2.8500,.4329
2.9000,.4345
2.9500,.4362
3.0000,.2529
3.0500,.0698
3.1000,.0696
3.1500,.0694
3.2000,.0693
3.2500,.0691
3.3000,.0689
3.3500,.0687
3.4000,.0686
3.4500,.0684
3.5000,.0682
3.5500,.0680
3.6000,.0679
3.6500,.0677
3.7000,.0675
3.7500,.0673
3.8000,.0672
3.8500,.0670
3.9000,.0668
3.9500,.0667
4.0000,.0665
4.0500,.0663
4.1000,.0661
4.1500,.0660
4.2000,.0658
4.2500,.0656
4.3000,.0655
4.3500,.0653
4.4000,.0651
4.4500,.0650
4.5000,.0648
4.5500,.0646
4.6000,.0645
4.6500,.0643
4.7000,.0641
4.7500,.0640
4.8000,.0638
4.8500,.0636
4.9000,.0635
4.9500,.0633
5.0000,.0631
5.0500,.0630
5.1000,.0628
5.1500,.0626
5.2000,.0625
5.2500,.0623
5.3000,.0621
5.3500,.0620
5.4000,.0618
5.4500,.0616
5.5000,.0615
5.5500,.0613
5.6000,.0612
5.6500,.0610
5.7000,.0608
5.7500,.0607
5.8000,.0605
5.8500,.0604
5.9000,.0602
5.9500,.0600

