Time,Concentration
.0000,.0000
.0500,.0000
.1000,.0000
.1500,.0000
.2000,.0000
.2500,.0000
.3000,.0000
.3500,.0000
.4000,.0000
.4500,.0000
.5000,.0000
.5500,.0000
.6000,.0001
.6500,.0007
.7000,.0035
.7500,.0118
.8000,.0307
.8500,.0634
.9000,.1095
.9500,.1638
1.0000,.2187
1.0500,.2676
1.1000,.3068
1.1500,.3355
1.2000,.3550
1.2500,.3677
1.3000,.3757
1.3500,.3808
1.4000,.3843
1.4500,.3870
1.5000,.3891
1.5500,.3911
1.6000,.3929
1.6500,.3947
1.7000,.3965
1.7500,.3983
1.8000,.4000
1.8500,.4018
1.9000,.4035
1.9500,.4053
2.0000,.4070
2.0500,.4087
2.1000,.4104
2.1500,.4122
2.2000,.4139
2.2500,.4156
2.3000,.4173
2.3500,.4190
2.4000,.4207
2.4500,.4224
2.5000,.4241
2.5500,.4258
2.6000,.4273
2.6500,.4284
2.7000,.4273
2.7500,.4206
2.8000,.4034
2.8500,.3723
2.9000,.3279
2.9500,.2753
3.0000,.2220
3.0500,.1747
3.1000,.1372
3.1500,.1102
3.2000,.0923
3.2500,.0812
3.3000,.0748
3.3500,.0713
3.4000,.0694
3.4500,.0684
3.5000,.0678
3.5500,.0675
3.6000,.0672
3.6500,.0670
3.7000,.0668
3.7500,.0666
3.8000,.0665
3.8500,.0663
3.9000,.0661
3.9500,.0660
4.0000,.0658
4.0500,.0656
4.1000,.0655
4.1500,.0653
4.2000,.0651
4.2500,.0649
4.3000,.0648
4.3500,.0646
4.4000,.0644
4.4500,.0643
4.5000,.0641
4.5500,.0639
4.6000,.0638
4.6500,.0636
4.7000,.0635
4.7500,.0633
4.8000,.0631
4.8500,.0630
4.9000,.0628
4.9500,.0626
5.0000,.0625
5.0500,.0623
5.1000,.0621
5.1500,.0620
5.2000,.0618
5.2500,.0617
5.3000,.0615
5.3500,.0613
5.4000,.0612
5.4500,.0610
5.5000,.0609
5.5500,.0607
5.6000,.0605
5.6500,.0604
5.7000,.0602
5.7500,.0601
5.8000,.0599
5.8500,.0597
5.9000,.0596
5.9500,.0594

