Time,C1,C2,BR*C1,(1-B)R*C2,Ct
.0000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.0500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.1500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.2500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.3500,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4000,.00000E+00,.00000E+00,.00000E+00,.00000E+00,.00000E+00
.4500,.19522E-08,.00000E+00,.19522E-08,.00000E+00,.19522E-08
.5000,.22474E-06,.00000E+00,.22474E-06,.00000E+00,.22474E-06
.5500,.64555E-05,.00000E+00,.64555E-05,.00000E+00,.64555E-05
.6000,.87184E-04,.15488E-07,.87184E-04,.15488E-05,.88733E-04
.6500,.66288E-03,.16258E-06,.66288E-03,.16258E-04,.67914E-03
.7000,.32226E-02,.99503E-06,.32226E-02,.99503E-04,.33221E-02
.7500,.11007E-01,.42318E-05,.11007E-01,.42318E-03,.11430E-01
.8000,.28376E-01,.13545E-04,.28376E-01,.13545E-02,.29730E-01
.8500,.58396E-01,.34561E-04,.58396E-01,.34561E-02,.61852E-01
.9000,.10033E+00,.73526E-04,.10033E+00,.73526E-02,.10769E+00
.9500,.14932E+00,.13521E-03,.14932E+00,.13521E-01,.16284E+00
1.0000,.19846E+00,.22131E-03,.19846E+00,.22131E-01,.22060E+00
1.0500,.24177E+00,.33019E-03,.24177E+00,.33019E-01,.27479E+00
1.1000,.27590E+00,.45786E-03,.27590E+00,.45786E-01,.32169E+00
1.1500,.30032E+00,.59939E-03,.30032E+00,.59939E-01,.36026E+00
1.2000,.31641E+00,.75017E-03,.31641E+00,.75017E-01,.39142E+00
1.2500,.32626E+00,.90649E-03,.32626E+00,.90649E-01,.41691E+00
1.3000,.33195E+00,.10658E-02,.33195E+00,.10658E+00,.43853E+00
1.3500,.33509E+00,.12263E-02,.33509E+00,.12263E+00,.45772E+00
1.4000,.33677E+00,.13871E-02,.33677E+00,.13871E+00,.47548E+00
1.4500,.33767E+00,.15477E-02,.33767E+00,.15477E+00,.49244E+00
1.5000,.33817E+00,.17077E-02,.33817E+00,.17077E+00,.50894E+00
1.5500,.33848E+00,.18670E-02,.33848E+00,.18670E+00,.52519E+00
1.6000,.33871E+00,.20256E-02,.33871E+00,.20256E+00,.54127E+00
1.6500,.33889E+00,.21835E-02,.33889E+00,.21835E+00,.55724E+00
1.7000,.33906E+00,.23405E-02,.33906E+00,.23405E+00,.57311E+00
1.7500,.33921E+00,.24968E-02,.33921E+00,.24968E+00,.58889E+00
1.8000,.33937E+00,.26522E-02,.33937E+00,.26522E+00,.60459E+00
1.8500,.33952E+00,.28070E-02,.33952E+00,.28070E+00,.62021E+00
1.9000,.33967E+00,.29609E-02,.33967E+00,.29609E+00,.63576E+00
1.9500,.33982E+00,.31141E-02,.33982E+00,.31141E+00,.65123E+00
2.0000,.33997E+00,.32665E-02,.33997E+00,.32665E+00,.66661E+00
2.0500,.34012E+00,.34181E-02,.34012E+00,.34181E+00,.68193E+00
2.1000,.34026E+00,.35690E-02,.34026E+00,.35690E+00,.69716E+00
2.1500,.34041E+00,.37191E-02,.34041E+00,.37191E+00,.71232E+00
2.2000,.34056E+00,.38685E-02,.34056E+00,.38685E+00,.72740E+00
2.2500,.34070E+00,.40171E-02,.34070E+00,.40171E+00,.74241E+00
2.3000,.34084E+00,.41650E-02,.34084E+00,.41650E+00,.75734E+00
2.3500,.34099E+00,.43121E-02,.34099E+00,.43121E+00,.77220E+00
2.4000,.34113E+00,.44585E-02,.34113E+00,.44585E+00,.78698E+00
2.4500,.34127E+00,.46042E-02,.34127E+00,.46042E+00,.80169E+00
2.5000,.34141E+00,.47492E-02,.34141E+00,.47492E+00,.81633E+00
2.5500,.34155E+00,.48934E-02,.34155E+00,.48934E+00,.83089E+00
2.6000,.34161E+00,.50369E-02,.34161E+00,.50369E+00,.84529E+00
2.6500,.34117E+00,.51795E-02,.34117E+00,.51795E+00,.85912E+00
2.7000,.33875E+00,.53208E-02,.33875E+00,.53208E+00,.87082E+00
2.7500,.33110E+00,.54589E-02,.33110E+00,.54589E+00,.87699E+00
2.8000,.31387E+00,.55902E-02,.31387E+00,.55902E+00,.87289E+00
2.8500,.28399E+00,.57092E-02,.28399E+00,.57092E+00,.85490E+00
2.9000,.24218E+00,.58094E-02,.24218E+00,.58094E+00,.82313E+00
2.9500,.19333E+00,.58863E-02,.19333E+00,.58863E+00,.78197E+00
3.0000,.14432E+00,.59381E-02,.14432E+00,.59381E+00,.73813E+00
3.0500,.10115E+00,.59664E-02,.10115E+00,.59664E+00,.69778E+00
3.1000,.67151E-01,.59752E-02,.67151E-01,.59752E+00,.66467E+00
3.1500,.42858E-01,.59695E-02,.42858E-01,.59695E+00,.63980E+00
3.2000,.26907E-01,.59538E-02,.26907E-01,.59538E+00,.62229E+00
3.2500,.17180E-01,.59319E-02,.17180E-01,.59319E+00,.61037E+00
3.3000,.11620E-01,.59064E-02,.11620E-01,.59064E+00,.60226E+00
3.3500,.86134E-02,.58790E-02,.86134E-02,.58790E+00,.59651E+00
3.4000,.70629E-02,.58506E-02,.70629E-02,.58506E+00,.59213E+00
3.4500,.62913E-02,.58218E-02,.62913E-02,.58218E+00,.58848E+00
3.5000,.59145E-02,.57929E-02,.59145E-02,.57929E+00,.58521E+00
3.5500,.57286E-02,.57641E-02,.57286E-02,.57641E+00,.58213E+00
3.6000,.56310E-02,.57353E-02,.56310E-02,.57353E+00,.57916E+00
3.6500,.55729E-02,.57066E-02,.55729E-02,.57066E+00,.57623E+00
3.7000,.55320E-02,.56781E-02,.55320E-02,.56781E+00,.57334E+00
3.7500,.54983E-02,.56497E-02,.54983E-02,.56497E+00,.57047E+00
3.8000,.54677E-02,.56214E-02,.54677E-02,.56214E+00,.56761E+00
3.8500,.54384E-02,.55933E-02,.54384E-02,.55933E+00,.56477E+00
3.9000,.54096E-02,.55653E-02,.54096E-02,.55653E+00,.56194E+00
3.9500,.53812E-02,.55375E-02,.53812E-02,.55375E+00,.55913E+00
4.0000,.53530E-02,.55098E-02,.53530E-02,.55098E+00,.55633E+00
