"Time [h]","dt_tran [h]","Global Vaq [mol]","Global Vim [mol]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Vaq [mol]","Top Vaq [mol/h]"
1.11111111E-01,2.77777778E-02,4.38744238E-02,1.15216243E-03,4.52602597E-02,3.43162783E-01,-3.40012188E-12,-3.00344959E-11
2.22222222E-01,2.77777778E-02,7.74026659E-02,3.71319598E-03,8.18763609E-02,3.25037752E-01,-6.64237911E-12,-2.86419056E-11
3.33333333E-01,2.77777778E-02,1.08600092E-01,7.54671592E-03,1.17707693E-01,3.21510002E-01,-9.73259399E-12,-2.73249494E-11
4.44444444E-01,2.77777778E-02,1.38177427E-01,1.25501227E-02,1.53348393E-01,3.20462103E-01,-1.27092733E-11,-2.67806233E-11
5.55555556E-01,2.77777778E-02,1.66338426E-01,1.86552178E-02,1.88926686E-01,3.20094318E-01,-1.71769153E-11,-6.18528279E-11
6.66666667E-01,2.77777778E-02,1.93190828E-01,2.57996902E-02,2.24481489E-01,3.19947965E-01,-6.70595402E-11,-9.82926256E-10
7.77777778E-01,2.77777778E-02,2.18812480E-01,3.39251748E-02,2.60026224E-01,3.19881190E-01,-8.59694288E-10,-1.47396441E-08
8.88888889E-01,2.77777778E-02,2.43269241E-01,4.29765423E-02,2.95565902E-01,3.19844930E-01,-9.51591344E-09,-1.48909544E-07
1.00000000E+00,2.77777778E-02,2.66620714E-01,5.29015583E-02,3.31102496E-01,3.19820945E-01,-7.65699815E-08,-1.07339948E-06
1.11111111E+00,2.77777778E-02,2.88922199E-01,6.36506659E-02,3.66636820E-01,3.19802101E-01,-4.66205150E-07,-5.84344216E-06
1.22222222E+00,2.77777778E-02,3.10225001E-01,7.51768057E-02,4.02169221E-01,3.19785504E-01,-2.24277412E-06,-2.51195407E-05
1.33333333E+00,2.77777778E-02,3.30575374E-01,8.74352146E-02,4.37699857E-01,3.19769943E-01,-8.83120501E-06,-8.83378335E-05
1.44444444E+00,2.77777778E-02,3.50011685E-01,1.00383142E-01,4.73228803E-01,3.19754903E-01,-2.92906616E-05,-2.61508563E-04
1.55555556E+00,2.77777778E-02,3.68559516E-01,1.13979406E-01,5.08756100E-01,3.19740158E-01,-8.37825365E-05,-6.67163418E-04
1.66666667E+00,2.77777778E-02,3.86225280E-01,1.28183713E-01,5.44281772E-01,3.19725610E-01,-2.10780710E-04,-1.49587420E-03
1.77777778E+00,2.77777778E-02,4.02990209E-01,1.42955733E-01,5.79805839E-01,3.19711213E-01,-4.74203311E-04,-2.99682557E-03
1.88888889E+00,2.77777778E-02,4.18807479E-01,1.58254013E-01,6.15328315E-01,3.19696945E-01,-9.67597189E-04,-5.44089297E-03
2.00000000E+00,2.77777778E-02,4.33605035E-01,1.74034922E-01,6.50849215E-01,3.19682799E-01,-1.81259626E-03,-9.06188425E-03
2.11111111E+00,2.77777778E-02,4.47295096E-01,1.90251872E-01,6.86368550E-01,3.19668767E-01,-3.15035626E-03,-1.39933202E-02
2.22222222E+00,2.77777778E-02,4.59789040E-01,2.06855085E-01,7.21886335E-01,3.19654848E-01,-5.12697680E-03,-2.02223403E-02
2.33333333E+00,2.77777778E-02,4.71014428E-01,2.23791998E-01,7.57402580E-01,3.19641039E-01,-7.87600480E-03,-2.75766356E-02
2.44444444E+00,2.77777778E-02,4.80930114E-01,2.41008326E-01,7.92917299E-01,3.19627340E-01,-1.15020626E-02,-3.57481032E-02
2.55555556E+00,2.77777778E-02,4.89536104E-01,2.58449580E-01,8.28430503E-01,3.19613749E-01,-1.60691671E-02,-4.43444948E-02
2.66666667E+00,2.77777778E-02,4.96876436E-01,2.76062806E-01,8.63942205E-01,3.19600266E-01,-2.15957652E-02,-5.29529375E-02
2.77777778E+00,2.77777778E-02,5.03035281E-01,2.93798244E-01,8.99452415E-01,3.19586889E-01,-2.80566235E-02,-6.11986527E-02
2.88888889E+00,2.77777778E-02,5.08127957E-01,3.11610688E-01,9.34961147E-01,3.19573618E-01,-3.53901581E-02,-6.87870000E-02
3.00000000E+00,2.77777778E-02,5.12289280E-01,3.29460406E-01,9.70468412E-01,3.19560452E-01,-4.35089521E-02,-7.55239876E-02
3.11111111E+00,2.77777778E-02,5.15661645E-01,3.47313573E-01,1.00597422E+00,3.19547390E-01,-5.23111253E-02,-8.13167291E-02
3.22222222E+00,2.77777778E-02,5.18384657E-01,3.65142258E-01,1.04147859E+00,3.19534431E-01,-6.16906838E-02,-8.61592997E-02
3.33333333E+00,2.77777778E-02,5.20587352E-01,3.82924069E-01,1.07698152E+00,3.19521574E-01,-7.15456905E-02,-9.01106978E-02
3.44444444E+00,2.77777778E-02,5.22383335E-01,4.00641549E-01,1.11248303E+00,3.19508819E-01,-8.17838241E-02,-9.32710878E-02
3.55555556E+00,2.77777778E-02,5.23868552E-01,4.18281470E-01,1.14798313E+00,3.19496164E-01,-9.23254349E-02,-9.57604438E-02
