 "Time [d]","dt_flow [d]","dt_tran [d]","Global Water Mass in Liquid Phas [kg]","Global Vaq [mol]","Global Vim [mol]","west Water Mass [kg]","west Water Mass [kg/d]","west Vaq [mol]","west Vaq [mol/d]","east Water Mass [kg]","east Water Mass [kg/d]","east Vaq [mol]","east Vaq [mol/d]","injection_well Water Mass [kg]","injection_well Water Mass [kg/d]","injection_well Vaq [mol]","injection_well Vaq [mol/d]","extraction_well Water Mass [kg]","extraction_well Water Mass [kg/d]","extraction_well Vaq [mol]","extraction_well Vaq [mol/d]","Region all Water Mass [kg]","Region all Total Mass [kg]"
2.50000000E-01,4.07737500E-02,4.07737500E-02,1.46976637E+07,3.85819131E-09,7.87724178E-13,-1.95317829E+06,-7.81273194E+06,-1.95387287E-09,-1.23054985E-08,1.95858670E+06,7.83432739E+06,1.95889740E-44,7.83557021E-44,5.99880071E+01,2.39952028E+02,6.00000000E-09,2.40000000E-08,-5.45894211E+03,-2.18357683E+04,-5.45894323E-47,-2.18357683E-46,8.15841592E+05,5.35937500E+07
5.00000000E-01,5.00000000E-02,5.00000000E-02,1.46976636E+07,5.50818890E-09,2.29878407E-12,-3.90636358E+06,-7.81274525E+06,-5.92219344E-09,-1.75681972E-08,3.91717086E+06,7.83434077E+06,3.91779227E-44,7.83558361E-44,1.19976014E+02,2.39952026E+02,1.20000000E-08,2.40000000E-08,-1.09178842E+04,-2.18357682E+04,-1.09178853E-46,-2.18357682E-46,8.15841587E+05,5.35937500E+07
5.00000000E-01,5.00000000E-02,5.00000000E-02,1.46976636E+07,5.50818890E-09,2.29878407E-12,-3.90636358E+06,-7.81274525E+06,-5.92219344E-09,-1.75681972E-08,3.91717086E+06,7.83434077E+06,3.91779227E-44,7.83558361E-44,1.19976014E+02,2.39952026E+02,1.20000000E-08,2.40000000E-08,-1.09178842E+04,-2.18357682E+04,-1.09178853E-46,-2.18357682E-46,8.15841587E+05,5.35937500E+07
7.50000000E-01,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.24472473E-09,4.00419885E-12,-5.85955182E+06,-7.81275638E+06,-1.07238462E-08,-1.99174737E-08,5.87575799E+06,7.83435195E+06,5.87669011E-44,7.83559481E-44,1.79964020E+02,2.39952024E+02,1.80000000E-08,2.40000000E-08,-1.63768262E+04,-2.18357681E+04,-1.63768273E-46,-2.18357681E-46,8.15841584E+05,5.35937500E+07
5.00000000E-01,5.00000000E-02,5.00000000E-02,1.46976636E+07,5.50818890E-09,2.29878407E-12,-3.90636358E+06,-7.81274525E+06,-5.92219344E-09,-1.75681972E-08,3.91717086E+06,7.83434077E+06,3.91779227E-44,7.83558361E-44,1.19976014E+02,2.39952026E+02,1.20000000E-08,2.40000000E-08,-1.09178842E+04,-2.18357682E+04,-1.09178853E-46,-2.18357682E-46,8.15841587E+05,5.35937500E+07
7.50000000E-01,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.24472473E-09,4.00419885E-12,-5.85955182E+06,-7.81275638E+06,-1.07238462E-08,-1.99174737E-08,5.87575799E+06,7.83435195E+06,5.87669011E-44,7.83559481E-44,1.79964020E+02,2.39952024E+02,1.80000000E-08,2.40000000E-08,-1.63768262E+04,-2.18357681E+04,-1.63768273E-46,-2.18357681E-46,8.15841584E+05,5.35937500E+07
7.50000000E-01,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.24472473E-09,4.00419885E-12,-5.85955182E+06,-7.81275638E+06,-1.07238462E-08,-1.99174737E-08,5.87575799E+06,7.83435195E+06,5.87669011E-44,7.83559481E-44,1.79964020E+02,2.39952024E+02,1.80000000E-08,2.40000000E-08,-1.63768262E+04,-2.18357681E+04,-1.63768273E-46,-2.18357681E-46,8.15841584E+05,5.35937500E+07
1.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.58129207E-09,5.70547851E-12,-7.81274258E+06,-7.81276607E+06,-1.58903965E-08,-2.09910529E-08,7.83434765E+06,7.83436166E+06,7.83559049E-44,7.83560456E-44,2.39952025E+02,2.39952022E+02,2.40000000E-08,2.40000000E-08,-2.18357682E+04,-2.18357680E+04,-2.18357693E-46,-2.18357680E-46,8.15841581E+05,5.35937500E+07
7.50000000E-01,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.24472473E-09,4.00419885E-12,-5.85955182E+06,-7.81275638E+06,-1.07238462E-08,-1.99174737E-08,5.87575799E+06,7.83435195E+06,5.87669011E-44,7.83559481E-44,1.79964020E+02,2.39952024E+02,1.80000000E-08,2.40000000E-08,-1.63768262E+04,-2.18357681E+04,-1.63768273E-46,-2.18357681E-46,8.15841584E+05,5.35937500E+07
1.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.58129207E-09,5.70547851E-12,-7.81274258E+06,-7.81276607E+06,-1.58903965E-08,-2.09910529E-08,7.83434765E+06,7.83436166E+06,7.83559049E-44,7.83560456E-44,2.39952025E+02,2.39952022E+02,2.40000000E-08,2.40000000E-08,-2.18357682E+04,-2.18357680E+04,-2.18357693E-46,-2.18357680E-46,8.15841581E+05,5.35937500E+07
1.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976635E+07,6.58129207E-09,5.70547851E-12,-7.81274258E+06,-7.81276607E+06,-1.58903965E-08,-2.09910529E-08,7.83434765E+06,7.83436166E+06,7.83559049E-44,7.83560456E-44,2.39952025E+02,2.39952022E+02,2.40000000E-08,2.40000000E-08,-2.18357682E+04,-2.18357680E+04,-2.18357693E-46,-2.18357680E-46,8.15841581E+05,5.35937500E+07
1.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.73216118E-09,7.32031107E-12,-9.76593561E+06,-7.81277490E+06,-2.12263756E-08,-2.14723352E-08,9.79293958E+06,7.83437052E+06,9.79449315E-44,7.83561344E-44,2.99940031E+02,2.39952021E+02,3.00000000E-08,2.40000000E-08,-2.72947102E+04,-2.18357679E+04,-2.72947113E-46,-2.18357679E-46,8.15841578E+05,5.35937500E+07
1.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.73216118E-09,7.32031107E-12,-9.76593561E+06,-7.81277490E+06,-2.12263756E-08,-2.14723352E-08,9.79293958E+06,7.83437052E+06,9.79449315E-44,7.83561344E-44,2.99940031E+02,2.39952021E+02,3.00000000E-08,2.40000000E-08,-2.72947102E+04,-2.18357679E+04,-2.72947113E-46,-2.18357679E-46,8.15841578E+05,5.35937500E+07
1.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.73216118E-09,7.32031107E-12,-9.76593561E+06,-7.81277490E+06,-2.12263756E-08,-2.14723352E-08,9.79293958E+06,7.83437052E+06,9.79449315E-44,7.83561344E-44,2.99940031E+02,2.39952021E+02,3.00000000E-08,2.40000000E-08,-2.72947102E+04,-2.18357679E+04,-2.72947113E-46,-2.18357679E-46,8.15841578E+05,5.35937500E+07
1.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.80266560E-09,8.82428224E-12,-1.17191308E+07,-7.81278329E+06,-2.66356903E-08,-2.16972830E-08,1.17515336E+07,7.83437891E+06,1.17533979E-43,7.83562185E-44,3.59928036E+02,2.39952020E+02,3.60000000E-08,2.40000000E-08,-3.27536522E+04,-2.18357679E+04,-3.27536533E-46,-2.18357679E-46,8.15841575E+05,5.35937500E+07
1.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.80266560E-09,8.82428224E-12,-1.17191308E+07,-7.81278329E+06,-2.66356903E-08,-2.16972830E-08,1.17515336E+07,7.83437891E+06,1.17533979E-43,7.83562185E-44,3.59928036E+02,2.39952020E+02,3.60000000E-08,2.40000000E-08,-3.27536522E+04,-2.18357679E+04,-3.27536533E-46,-2.18357679E-46,8.15841575E+05,5.35937500E+07
1.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.73216118E-09,7.32031107E-12,-9.76593561E+06,-7.81277490E+06,-2.12263756E-08,-2.14723352E-08,9.79293958E+06,7.83437052E+06,9.79449315E-44,7.83561344E-44,2.99940031E+02,2.39952021E+02,3.00000000E-08,2.40000000E-08,-2.72947102E+04,-2.18357679E+04,-2.72947113E-46,-2.18357679E-46,8.15841578E+05,5.35937500E+07
1.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.80266560E-09,8.82428224E-12,-1.17191308E+07,-7.81278329E+06,-2.66356903E-08,-2.16972830E-08,1.17515336E+07,7.83437891E+06,1.17533979E-43,7.83562185E-44,3.59928036E+02,2.39952020E+02,3.60000000E-08,2.40000000E-08,-3.27536522E+04,-2.18357679E+04,-3.27536533E-46,-2.18357679E-46,8.15841575E+05,5.35937500E+07
1.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.83561535E-09,1.02116269E-11,-1.36723280E+07,-7.81279144E+06,-3.20792854E-08,-2.18024428E-08,1.37101298E+07,7.83438708E+06,1.37123048E-43,7.83563004E-44,4.19916040E+02,2.39952019E+02,4.20000000E-08,2.40000000E-08,-3.82125941E+04,-2.18357678E+04,-3.82125952E-46,-2.18357678E-46,8.15841573E+05,5.35937500E+07
1.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.83561535E-09,1.02116269E-11,-1.36723280E+07,-7.81279144E+06,-3.20792854E-08,-2.18024428E-08,1.37101298E+07,7.83438708E+06,1.37123048E-43,7.83563004E-44,4.19916040E+02,2.39952019E+02,4.20000000E-08,2.40000000E-08,-3.82125941E+04,-2.18357678E+04,-3.82125952E-46,-2.18357678E-46,8.15841573E+05,5.35937500E+07
1.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976634E+07,6.80266560E-09,8.82428224E-12,-1.17191308E+07,-7.81278329E+06,-2.66356903E-08,-2.16972830E-08,1.17515336E+07,7.83437891E+06,1.17533979E-43,7.83562185E-44,3.59928036E+02,2.39952020E+02,3.60000000E-08,2.40000000E-08,-3.27536522E+04,-2.18357679E+04,-3.27536533E-46,-2.18357679E-46,8.15841575E+05,5.35937500E+07
1.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.83561535E-09,1.02116269E-11,-1.36723280E+07,-7.81279144E+06,-3.20792854E-08,-2.18024428E-08,1.37101298E+07,7.83438708E+06,1.37123048E-43,7.83563004E-44,4.19916040E+02,2.39952019E+02,4.20000000E-08,2.40000000E-08,-3.82125941E+04,-2.18357678E+04,-3.82125952E-46,-2.18357678E-46,8.15841573E+05,5.35937500E+07
2.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.85101524E-09,1.14852579E-11,-1.56255272E+07,-7.81279949E+06,-3.75389098E-08,-2.18516234E-08,1.56687279E+07,7.83439513E+06,1.56712137E-43,7.83563812E-44,4.79904045E+02,2.39952018E+02,4.80000000E-08,2.40000000E-08,-4.36715360E+04,-2.18357677E+04,-4.36715372E-46,-2.18357677E-46,8.15841570E+05,5.35937500E+07
2.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.85101524E-09,1.14852579E-11,-1.56255272E+07,-7.81279949E+06,-3.75389098E-08,-2.18516234E-08,1.56687279E+07,7.83439513E+06,1.56712137E-43,7.83563812E-44,4.79904045E+02,2.39952018E+02,4.80000000E-08,2.40000000E-08,-4.36715360E+04,-2.18357677E+04,-4.36715372E-46,-2.18357677E-46,8.15841570E+05,5.35937500E+07
1.75000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.83561535E-09,1.02116269E-11,-1.36723280E+07,-7.81279144E+06,-3.20792854E-08,-2.18024428E-08,1.37101298E+07,7.83438708E+06,1.37123048E-43,7.83563004E-44,4.19916040E+02,2.39952019E+02,4.20000000E-08,2.40000000E-08,-3.82125941E+04,-2.18357678E+04,-3.82125952E-46,-2.18357678E-46,8.15841573E+05,5.35937500E+07
2.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.85101524E-09,1.14852579E-11,-1.56255272E+07,-7.81279949E+06,-3.75389098E-08,-2.18516234E-08,1.56687279E+07,7.83439513E+06,1.56712137E-43,7.83563812E-44,4.79904045E+02,2.39952018E+02,4.80000000E-08,2.40000000E-08,-4.36715360E+04,-2.18357677E+04,-4.36715372E-46,-2.18357677E-46,8.15841570E+05,5.35937500E+07
2.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976632E+07,6.85821334E-09,1.26516583E-11,-1.75787284E+07,-7.81280750E+06,-4.30060340E-08,-2.18746423E-08,1.76273280E+07,7.83440313E+06,1.76301246E-43,7.83564615E-44,5.39892049E+02,2.39952017E+02,5.40000000E-08,2.40000000E-08,-4.91304780E+04,-2.18357676E+04,-4.91304791E-46,-2.18357676E-46,8.15841568E+05,5.35937500E+07
2.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976632E+07,6.85821334E-09,1.26516583E-11,-1.75787284E+07,-7.81280750E+06,-4.30060340E-08,-2.18746423E-08,1.76273280E+07,7.83440313E+06,1.76301246E-43,7.83564615E-44,5.39892049E+02,2.39952017E+02,5.40000000E-08,2.40000000E-08,-4.91304780E+04,-2.18357676E+04,-4.91304791E-46,-2.18357676E-46,8.15841568E+05,5.35937500E+07
2.25000000E+00,5.00000000E-02,5.00000000E-02,1.46976632E+07,6.85821334E-09,1.26516583E-11,-1.75787284E+07,-7.81280750E+06,-4.30060340E-08,-2.18746423E-08,1.76273280E+07,7.83440313E+06,1.76301246E-43,7.83564615E-44,5.39892049E+02,2.39952017E+02,5.40000000E-08,2.40000000E-08,-4.91304780E+04,-2.18357676E+04,-4.91304791E-46,-2.18357676E-46,8.15841568E+05,5.35937500E+07
2.00000000E+00,5.00000000E-02,5.00000000E-02,1.46976633E+07,6.85101524E-09,1.14852579E-11,-1.56255272E+07,-7.81279949E+06,-3.75389098E-08,-2.18516234E-08,1.56687279E+07,7.83439513E+06,1.56712137E-43,7.83563812E-44,4.79904045E+02,2.39952018E+02,4.80000000E-08,2.40000000E-08,-4.36715360E+04,-2.18357677E+04,-4.36715372E-46,-2.18357677E-46,8.15841570E+05,5.35937500E+07
2.50000000E+00,5.00000000E-02,5.00000000E-02,1.46976632E+07,6.86157794E-09,1.37185366E-11,-1.95319317E+07,-7.81281548E+06,-4.84766717E-08,-2.18854332E-08,1.95859302E+07,7.83441112E+06,1.95890375E-43,7.83565416E-44,5.99880054E+02,2.39952016E+02,6.00000000E-08,2.40000000E-08,-5.45894199E+04,-2.18357676E+04,-5.45894210E-46,-2.18357676E-46,8.15841565E+05,5.35937500E+07
