Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.05000000E-01,1.39977912E+08,1.04754672E-02,2.97108677E-05,-0.00000000E+00,-0.00000000E+00,2.68181929E-40,4.35028045E-40,5.55870213E+06,5.55770010E+06,5.55957097E-04,5.55856879E-04,-5.56126215E+06,-5.56158420E+06,-4.68442054E-04,-4.13164482E-04,-0.00000000E+00,-0.00000000E+00,2.66518958E-40,4.32332914E-40,-0.00000000E+00,-0.00000000E+00,2.66518958E-40,4.32332913E-40,-8.08070090E+02,-1.22620651E+03,-6.49142794E-08,-9.10935836E-08,3.36696070E+03,5.10919680E+03,3.36749000E-07,5.11000000E-07,7.76992896E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,4.00000000E-02,1.39977911E+08,8.51370747E+03,2.19851824E-05,-0.00000000E+00,-0.00000000E+00,-6.00644205E-34,-1.05083302E-33,1.11135869E+07,5.55488843E+06,1.11153240E-03,5.55575671E-04,-1.11237468E+07,-5.56248834E+06,-8.20254958E-04,-3.05779428E-04,-0.00000000E+00,-0.00000000E+00,8.78529914E-40,7.44849487E-40,-0.00000000E+00,-0.00000000E+00,8.78529913E-40,7.44849486E-40,-3.20769142E+03,-2.39962133E+03,-4.17382363E-03,-2.04056534E-02,1.33653888E+04,9.99842813E+03,1.00000000E+04,1.00000000E+04,7.76992890E+06,1.63109996E+09
3.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977910E+08,1.48049784E+04,1.62759057E-05,-0.00000000E+00,-0.00000000E+00,-2.09926659E-33,-1.82735561E-33,1.66684894E+07,5.55490254E+06,1.66710949E-03,5.55577084E-04,-1.66862492E+07,-5.56250241E+06,-1.08024532E-03,-2.26373065E-04,-0.00000000E+00,-0.00000000E+00,1.75185185E-39,9.66305865E-40,-0.00000000E+00,-0.00000000E+00,1.75185185E-39,9.66305865E-40,-5.60731273E+03,-2.39962131E+03,-3.88147985E-01,-1.06897864E+00,2.33638169E+04,9.99842806E+03,2.00000000E+04,1.00000000E+04,7.76992884E+06,1.63110625E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977909E+08,1.94593534E+04,1.20492567E-05,-0.00000000E+00,-0.00000000E+00,-4.25796176E-33,-2.40183846E-33,2.22234055E+07,5.55491608E+06,2.22268793E-03,5.55578441E-04,-2.22487651E+07,-5.56251590E+06,-1.27274242E-03,-1.67681670E-04,-0.00000000E+00,-0.00000000E+00,2.80924168E-39,1.12327129E-39,-0.00000000E+00,-0.00000000E+00,2.80924168E-39,1.12327129E-39,-8.00693402E+03,-2.39962129E+03,-4.31806911E+00,-7.37172611E+00,3.33622449E+04,9.99842801E+03,3.00000000E+04,1.00000000E+04,7.76992878E+06,1.63111090E+09
5.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977908E+08,2.28960854E+04,8.92021550E-06,-0.00000000E+00,-0.00000000E+00,-6.90454479E-33,-2.82602938E-33,2.77783346E+07,5.55492905E+06,2.77826767E-03,5.55579740E-04,-2.78112940E+07,-5.56252883E+06,-1.41783215E-03,-1.32912512E-04,-0.00000000E+00,-0.00000000E+00,3.99696291E-39,1.23430572E-39,-0.00000000E+00,-0.00000000E+00,3.99696291E-39,1.23430572E-39,-1.04065553E+04,-2.39962127E+03,-1.86124194E+01,-2.07090795E+01,4.33606729E+04,9.99842795E+03,4.00000000E+04,1.00000000E+04,7.76992873E+06,1.63111434E+09
6.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977907E+08,2.54275854E+04,6.60374718E-06,-0.00000000E+00,-0.00000000E+00,-9.91090473E-33,-3.13848881E-33,3.33332760E+07,5.55494144E+06,3.33384865E-03,5.55580983E-04,-3.33738351E+07,-5.56254118E+06,-1.62099684E-03,-3.68100269E-04,-0.00000000E+00,-0.00000000E+00,5.27677482E-39,1.31267868E-39,-0.00000000E+00,-0.00000000E+00,5.27677482E-39,1.31267868E-39,-1.28061765E+04,-2.39962126E+03,-4.78708295E+01,-3.59824725E+01,5.33591008E+04,9.99842791E+03,5.00000000E+04,1.00000000E+04,7.76992868E+06,1.63111687E+09
7.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977906E+08,2.72901954E+04,4.88883668E-06,-0.00000000E+00,-0.00000000E+00,-1.31820781E-32,-3.36838811E-33,3.88882293E+07,5.55495327E+06,3.88943082E-03,5.55582167E-04,-3.89363881E+07,-5.56255296E+06,-3.37306164E-03,-4.09186327E-03,-0.00000000E+00,-0.00000000E+00,6.62150826E-39,1.36786540E-39,-0.00000000E+00,-0.00000000E+00,6.62150826E-39,1.36786540E-39,-1.52057978E+04,-2.39962124E+03,-9.07367091E+01,-4.77111070E+01,6.33575286E+04,9.99842787E+03,6.00000000E+04,1.00000000E+04,7.76992863E+06,1.63111873E+09
8.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977905E+08,2.86615688E+04,3.61926698E-06,-0.00000000E+00,-0.00000000E+00,-1.66481385E-32,-3.53765476E-33,4.44431938E+07,5.55496453E+06,4.44501411E-03,5.55583296E-04,-4.44989523E+07,-5.56256418E+06,-1.94531312E-02,-3.34901143E-02,-0.00000000E+00,-0.00000000E+00,8.01189429E-39,1.40662259E-39,-0.00000000E+00,-0.00000000E+00,8.01189429E-39,1.40662259E-39,-1.76054190E+04,-2.39962123E+03,-1.42577165E+02,-5.45248307E+01,7.33559565E+04,9.99842783E+03,7.00000000E+04,1.00000000E+04,7.76992858E+06,1.63112010E+09
9.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977904E+08,2.96728319E+04,2.67938864E-06,-0.00000000E+00,-0.00000000E+00,-2.02578013E-32,-3.66247352E-33,4.99981691E+07,5.55497526E+06,5.00059849E-03,5.55584372E-04,-5.00615272E+07,-5.56257487E+06,-1.17442250E-01,-1.80949088E-01,-0.00000000E+00,-0.00000000E+00,9.43429334E-39,1.43376143E-39,-0.00000000E+00,-0.00000000E+00,9.43429333E-39,1.43376143E-39,-2.00050402E+04,-2.39962122E+03,-1.99101718E+02,-5.77493071E+01,8.33543843E+04,9.99842779E+03,8.00000000E+04,1.00000000E+04,7.76992854E+06,1.63112112E+09
1.00000000E+01,1.00000000E+00,4.00000000E-02,1.39977904E+08,3.04118331E+04,1.99067569E-06,-0.00000000E+00,-0.00000000E+00,-2.39765058E-32,-3.75368739E-33,5.55531546E+07,5.55498549E+06,5.55618388E-03,5.55585397E-04,-5.56241122E+07,-5.56258507E+06,-5.79276964E-01,-7.35412571E-01,-0.00000000E+00,-0.00000000E+00,1.08796766E-38,1.45247775E-39,-0.00000000E+00,-0.00000000E+00,1.08796766E-38,1.45247775E-39,-2.24046614E+04,-2.39962121E+03,-2.57700790E+02,-5.90245794E+01,9.33528120E+04,9.99842775E+03,9.00000000E+04,1.00000000E+04,7.76992849E+06,1.63112185E+09
1.10000000E+01,1.00000000E+00,1.04000000E-01,1.39977903E+08,3.09590052E+04,1.47933258E-06,-0.00000000E+00,-0.00000000E+00,-2.77720100E-32,-3.82122405E-33,6.11081498E+07,5.55499527E+06,6.11177026E-03,5.55586377E-04,-6.11867070E+07,-5.56259481E+06,-2.08379349E+00,-2.18379802E+00,-0.00000000E+00,-0.00000000E+00,1.23403073E-38,1.46554650E-39,-0.00000000E+00,-0.00000000E+00,1.23403073E-38,1.46554650E-39,-2.48042826E+04,-2.39962120E+03,-3.17045297E+02,-5.94979029E+01,1.03351240E+05,9.99842771E+03,1.00000000E+05,1.00000000E+04,7.76992845E+06,1.63112240E+09
1.20000000E+01,1.00000000E+00,2.32000000E-01,1.39977902E+08,3.13620565E+04,1.10061254E-06,-0.00000000E+00,-0.00000000E+00,-3.16247055E-32,-3.87097210E-33,6.66631545E+07,5.55500465E+06,6.66735758E-03,5.55587318E-04,-6.67493112E+07,-5.56260416E+06,-5.92433033E+00,-5.12902816E+00,-0.00000000E+00,-0.00000000E+00,1.38116288E-38,1.47460923E-39,-0.00000000E+00,-0.00000000E+00,1.38116288E-38,1.47460923E-39,-2.72039038E+04,-2.39962119E+03,-3.76654713E+02,-5.96587595E+01,1.13349667E+05,9.99842767E+03,1.10000000E+05,1.00000000E+04,7.76992841E+06,1.63112280E+09
1.30000000E+01,1.00000000E+00,2.32000000E-01,1.39977901E+08,3.16584074E+04,8.18847628E-07,-0.00000000E+00,-0.00000000E+00,-3.55188426E-32,-3.90755028E-33,7.22181682E+07,5.55501369E+06,7.22294580E-03,5.55588225E-04,-7.23119244E+07,-5.56261318E+06,-1.38322971E+01,-9.94294556E+00,-0.00000000E+00,-0.00000000E+00,1.52902497E-38,1.48090098E-39,-0.00000000E+00,-0.00000000E+00,1.52902497E-38,1.48090098E-39,-2.96035250E+04,-2.39962118E+03,-4.36349949E+02,-5.97110501E+01,1.23348095E+05,9.99842763E+03,1.20000000E+05,1.00000000E+04,7.76992838E+06,1.63112310E+09
1.40000000E+01,1.00000000E+00,2.32000000E-01,1.39977901E+08,3.18738503E+04,6.09216617E-07,-0.00000000E+00,-0.00000000E+00,-3.94432629E-32,-3.93414208E-33,7.77731906E+07,5.55502246E+06,7.77853491E-03,5.55589104E-04,-7.78745463E+07,-5.56262193E+06,-2.76852536E+01,-1.65757220E+01,-0.00000000E+00,-0.00000000E+00,1.67739233E-38,1.48524662E-39,-0.00000000E+00,-0.00000000E+00,1.67739233E-38,1.48524662E-39,-3.20031462E+04,-2.39962117E+03,-4.96072294E+02,-5.97271573E+01,1.33346523E+05,9.99842760E+03,1.30000000E+05,1.00000000E+04,7.76992834E+06,1.63112332E+09
1.50000000E+01,1.00000000E+00,2.32000000E-01,1.39977900E+08,3.20278412E+04,4.53252686E-07,-0.00000000E+00,-0.00000000E+00,-4.33894926E-32,-3.95314896E-33,8.33282216E+07,5.55503100E+06,8.33412487E-03,5.55589961E-04,-8.34371768E+07,-5.56263045E+06,-4.90146132E+01,-2.45007423E+01,-0.00000000E+00,-0.00000000E+00,1.82610751E-38,1.48823038E-39,-0.00000000E+00,-0.00000000E+00,1.82610751E-38,1.48823038E-39,-3.44027673E+04,-2.39962116E+03,-5.55802798E+02,-5.97319091E+01,1.43344950E+05,9.99842756E+03,1.40000000E+05,1.00000000E+04,7.76992830E+06,1.63112347E+09
1.60000000E+01,1.00000000E+00,2.32000000E-01,1.39977900E+08,3.21354625E+04,3.37216667E-07,-0.00000000E+00,-0.00000000E+00,-4.73511154E-32,-3.96643250E-33,8.88832610E+07,5.55503937E+06,8.88971567E-03,5.55590801E-04,-8.89998156E+07,-5.56263881E+06,-7.86210425E+01,-3.28888210E+01,-0.00000000E+00,-0.00000000E+00,1.97506059E-38,1.49026507E-39,-0.00000000E+00,-0.00000000E+00,1.97506059E-38,1.49026507E-39,-3.68023885E+04,-2.39962115E+03,-6.15535670E+02,-5.97332730E+01,1.53343378E+05,9.99842752E+03,1.50000000E+05,1.00000000E+04,7.76992827E+06,1.63112358E+09
1.70000000E+01,1.00000000E+00,2.32000000E-01,1.39977899E+08,3.22086583E+04,2.50886722E-07,-0.00000000E+00,-0.00000000E+00,-5.13233319E-32,-3.97546696E-33,9.44383086E+07,5.55504761E+06,9.44530730E-03,5.55591627E-04,-9.45624626E+07,-5.56264704E+06,-1.16438384E+02,-4.08848260E+01,-0.00000000E+00,-0.00000000E+00,2.12417516E-38,1.49164160E-39,-0.00000000E+00,-0.00000000E+00,2.12417516E-38,1.49164160E-39,-3.92020096E+04,-2.39962114E+03,-6.75269222E+02,-5.97336688E+01,1.63341805E+05,9.99842748E+03,1.60000000E+05,1.00000000E+04,7.76992824E+06,1.63112365E+09
1.80000000E+01,1.00000000E+00,2.32000000E-01,1.39977898E+08,3.22569323E+04,1.86657877E-07,-0.00000000E+00,-0.00000000E+00,-5.53026284E-32,-3.98142535E-33,9.99933644E+07,5.55505575E+06,1.00008997E-02,5.55592444E-04,-1.00125118E+08,-5.56265517E+06,-1.61657677E+02,-4.78409421E+01,-0.00000000E+00,-0.00000000E+00,2.27339842E-38,1.49256438E-39,-0.00000000E+00,-0.00000000E+00,2.27339842E-38,1.49256438E-39,-4.16016307E+04,-2.39962113E+03,-7.35002982E+02,-5.97337982E+01,1.73340233E+05,9.99842744E+03,1.70000000E+05,1.00000000E+04,7.76992820E+06,1.63112370E+09
1.90000000E+01,1.00000000E+00,2.32000000E-01,1.39977898E+08,3.22877339E+04,1.38872089E-07,-0.00000000E+00,-0.00000000E+00,-5.92865072E-32,-3.98522714E-33,1.05548428E+08,5.55506382E+06,1.05564930E-02,5.55593253E-04,-1.05687781E+08,-5.56266323E+06,-2.13010315E+02,-5.34232093E+01,-0.00000000E+00,-0.00000000E+00,2.42269413E-38,1.49317653E-39,-0.00000000E+00,-0.00000000E+00,2.42269413E-38,1.49317653E-39,-4.40012519E+04,-2.39962112E+03,-7.94736821E+02,-5.97338568E+01,1.83338660E+05,9.99842741E+03,1.80000000E+05,1.00000000E+04,7.76992817E+06,1.63112373E+09
2.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977897E+08,3.23067247E+04,1.03319814E-07,-0.00000000E+00,-0.00000000E+00,-6.32732534E-32,-3.98757115E-33,1.11103500E+08,5.55507184E+06,1.11120871E-02,5.55594058E-04,-1.11250452E+08,-5.56267125E+06,-2.69078529E+02,-5.75925372E+01,-0.00000000E+00,-0.00000000E+00,2.57203756E-38,1.49357782E-39,-0.00000000E+00,-0.00000000E+00,2.57203756E-38,1.49357782E-39,-4.64008730E+04,-2.39962111E+03,-8.54470705E+02,-5.97338970E+01,1.93337087E+05,9.99842737E+03,1.90000000E+05,1.00000000E+04,7.76992813E+06,1.63112375E+09
