Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,3.27307634E-02,1.39979932E+08,7.22750082E-03,6.07139204E-03,-0.00000000E+00,-0.00000000E+00,5.31295250E-40,8.35919899E-40,6.25704999E+07,6.25758621E+07,6.25783939E-03,6.25837684E-03,-6.25701439E+07,-6.25752463E+07,-4.03768863E-03,-2.51317849E-03,-0.00000000E+00,-0.00000000E+00,5.27995371E-40,8.30728155E-40,-0.00000000E+00,-0.00000000E+00,5.27995371E-40,8.30728155E-40,-8.08081813E+02,-1.22622417E+03,-4.56166478E-08,-5.22160365E-08,3.36706295E+02,5.10935157E+02,3.36749000E-08,5.11000000E-08,7.77004111E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,2.36424374E-02,1.39979849E+08,6.46972060E+02,2.36734224E+02,-0.00000000E+00,-0.00000000E+00,-4.69676122E-35,-7.98531092E-35,1.25155947E+08,6.25884544E+07,1.25171774E-02,6.25963965E-03,-1.25154275E+08,-6.25871351E+07,-1.13852897E-02,-6.88842913E-02,-0.00000000E+00,-0.00000000E+00,1.46506302E-39,9.88095272E-40,-0.00000000E+00,-0.00000000E+00,1.46506302E-39,9.88095272E-40,-3.20773670E+03,-2.39965456E+03,-7.89796240E-02,-4.06231465E-01,1.33657901E+03,9.99872582E+02,1.00000000E+03,1.00000000E+03,7.77003646E+06,1.63109209E+09
3.00000000E+00,1.00000000E+00,3.98531823E-02,1.39979771E+08,8.92992774E+02,7.32227955E+02,-0.00000000E+00,-0.00000000E+00,-1.45278133E-34,-1.10219094E-34,1.87755989E+08,6.26000419E+07,1.87779794E-02,6.26080198E-03,-1.87752994E+08,-6.25987195E+07,-1.43767341E+01,-5.13771708E+01,-0.00000000E+00,-0.00000000E+00,2.46151528E-39,9.98895707E-40,-0.00000000E+00,-0.00000000E+00,2.46151528E-39,9.98895707E-40,-5.60739002E+03,-2.39965332E+03,-9.31787824E-01,-1.00796318E+00,2.33645108E+03,9.99872073E+02,2.00000000E+03,1.00000000E+03,7.77003216E+06,1.63109234E+09
4.00000000E+00,1.00000000E+00,1.21268663E-02,1.39979694E+08,9.33696185E+02,1.30643558E+03,-0.00000000E+00,-0.00000000E+00,-2.59206489E-34,-1.15243058E-34,2.50367518E+08,6.26115292E+07,2.50399337E-02,6.26195429E-03,-2.50363201E+08,-6.26102062E+07,-1.16539945E+02,-1.28295226E+02,-0.00000000E+00,-0.00000000E+00,3.46045855E-39,9.98928514E-40,-0.00000000E+00,-0.00000000E+00,3.46045855E-39,9.98928514E-40,-8.00704212E+03,-2.39965210E+03,-1.94380700E+00,-1.01257649E+00,3.33632266E+03,9.99871575E+02,3.00000000E+03,1.00000000E+03,7.77002790E+06,1.63109238E+09
5.00000000E+00,1.00000000E+00,1.22910395E-02,1.39979618E+08,9.34532930E+02,1.88770930E+03,-0.00000000E+00,-0.00000000E+00,-3.74536848E-34,-1.15346337E-34,3.12990508E+08,6.26229901E+07,3.13030376E-02,6.26310395E-03,-3.12984867E+08,-6.26216670E+07,-2.48033915E+02,-1.32226331E+02,-0.00000000E+00,-0.00000000E+00,4.45933107E-39,9.98838913E-40,-0.00000000E+00,-0.00000000E+00,4.45933107E-39,9.98838913E-40,-1.04066930E+04,-2.39965091E+03,-2.95639498E+00,-1.01257679E+00,4.33619374E+03,9.99871087E+02,4.00000000E+03,1.00000000E+03,7.77002364E+06,1.63109238E+09
6.00000000E+00,1.00000000E+00,1.24518252E-02,1.39979541E+08,9.34489315E+02,2.46904893E+03,-0.00000000E+00,-0.00000000E+00,-4.89880284E-34,-1.15340953E-34,3.75624946E+08,6.26344381E+07,3.75672900E-02,6.26425234E-03,-3.75617983E+08,-6.26331150E+07,-3.80309967E+02,-1.32286639E+02,-0.00000000E+00,-0.00000000E+00,5.45811420E-39,9.98749731E-40,-0.00000000E+00,-0.00000000E+00,5.45811420E-39,9.98749731E-40,-1.28063428E+04,-2.39964974E+03,-3.96898133E+00,-1.01257518E+00,5.33606435E+03,9.99870608E+02,5.00000000E+03,1.00000000E+03,7.77001938E+06,1.63109238E+09
7.00000000E+00,1.00000000E+00,1.26094857E-02,1.39979464E+08,9.34443822E+02,3.05036023E+03,-0.00000000E+00,-0.00000000E+00,-6.05218101E-34,-1.15335338E-34,4.38270822E+08,6.26458756E+07,4.38326897E-02,6.26539967E-03,-4.38262535E+08,-6.26445525E+07,-5.12630132E+02,-1.32328160E+02,-0.00000000E+00,-0.00000000E+00,6.45680851E-39,9.98661139E-40,-0.00000000E+00,-0.00000000E+00,6.45680851E-39,9.98661140E-40,-1.52059914E+04,-2.39964860E+03,-4.98156592E+00,-1.01257365E+00,6.33593449E+03,9.99870138E+02,6.00000000E+03,1.00000000E+03,7.77001512E+06,1.63109238E+09
8.00000000E+00,1.00000000E+00,1.27642247E-02,1.39979387E+08,9.34399180E+02,3.63164353E+03,-0.00000000E+00,-0.00000000E+00,-7.20550361E-34,-1.15329828E-34,5.00928125E+08,6.26573028E+07,5.00992356E-02,6.26654598E-03,-5.00918515E+08,-6.26559798E+07,-6.44991202E+02,-1.32368921E+02,-0.00000000E+00,-0.00000000E+00,7.45541460E-39,9.98573125E-40,-0.00000000E+00,-0.00000000E+00,7.45541460E-39,9.98573126E-40,-1.76056388E+04,-2.39964747E+03,-5.99414884E+00,-1.01257219E+00,7.33580416E+03,9.99869676E+02,7.00000000E+03,1.00000000E+03,7.77001086E+06,1.63109238E+09
9.00000000E+00,1.00000000E+00,1.29162220E-02,1.39979311E+08,9.34355336E+02,4.21289934E+03,-0.00000000E+00,-0.00000000E+00,-8.35877166E-34,-1.15324416E-34,5.63596845E+08,6.26687200E+07,5.63669269E-02,6.26769128E-03,-5.63585912E+08,-6.26673969E+07,-7.77392467E+02,-1.32408981E+02,-0.00000000E+00,-0.00000000E+00,8.45393303E-39,9.98485683E-40,-0.00000000E+00,-0.00000000E+00,8.45393303E-39,9.98485684E-40,-2.00052852E+04,-2.39964636E+03,-7.00673016E+00,-1.01257077E+00,8.33567339E+03,9.99869222E+02,8.00000000E+03,1.00000000E+03,7.77000660E+06,1.63109238E+09
1.00000000E+01,1.00000000E+00,1.30709706E-02,1.39979234E+08,9.34312243E+02,4.79412814E+03,-0.00000000E+00,-0.00000000E+00,-9.51198612E-34,-1.15319097E-34,6.26276972E+08,6.26801270E+07,6.26357625E-02,6.26883557E-03,-6.26264716E+08,-6.26788040E+07,-9.09833259E+02,-1.32448382E+02,-0.00000000E+00,-0.00000000E+00,9.45236436E-39,9.98398806E-40,-0.00000000E+00,-0.00000000E+00,9.45236437E-39,9.98398808E-40,-2.24049305E+04,-2.39964527E+03,-8.01930995E+00,-1.01256941E+00,9.33554216E+03,9.99868775E+02,9.00000000E+03,1.00000000E+03,7.77000233E+06,1.63109238E+09
