Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,3.27242129E-02,1.39979933E+08,1.11313647E-02,2.95214461E-05,-0.00000000E+00,-0.00000000E+00,2.08907988E-40,3.54071556E-40,6.25377049E+07,6.25260857E+07,6.25455945E-03,6.25339853E-03,-6.25706824E+07,-6.25760518E+07,-5.36750254E-03,-4.61906472E-03,-0.00000000E+00,-0.00000000E+00,2.07611724E-40,3.51876122E-40,-0.00000000E+00,-0.00000000E+00,2.07611724E-40,3.51876122E-40,-8.08081866E+02,-1.22622428E+03,-6.65269347E-08,-9.23643199E-08,3.36706362E+04,5.10935287E+04,3.36749000E-06,5.11000000E-06,7.77004113E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,3.18352957E-02,1.39979852E+08,8.57535658E+04,2.17879720E-05,-0.00000000E+00,-0.00000000E+00,-5.75047599E-33,-1.05844384E-32,1.25025537E+08,6.24907265E+07,1.25041346E-02,6.24986541E-03,-1.25156183E+08,-6.25883917E+07,-3.18899593E+00,-3.29876742E+01,-0.00000000E+00,-0.00000000E+00,6.33400406E-40,4.66959332E-40,-0.00000000E+00,-0.00000000E+00,6.33400405E-40,4.66959332E-40,-3.20773770E+03,-2.39965581E+03,-1.37103480E+01,-6.69197575E+01,1.33657979E+05,9.99873444E+04,1.00000000E+05,1.00000000E+05,7.77003662E+06,1.63117720E+09
3.00000000E+00,1.00000000E+00,1.16868586E-02,1.39979779E+08,1.44486402E+05,1.60816556E-05,-0.00000000E+00,-0.00000000E+00,-2.04501582E-32,-1.78337484E-32,1.87527149E+08,6.25016120E+07,1.87550919E-02,6.25095728E-03,-1.87755456E+08,-6.25992724E+07,-4.74728018E+03,-1.67837320E+04,-0.00000000E+00,-0.00000000E+00,1.11027569E-39,4.80184950E-40,-0.00000000E+00,-0.00000000E+00,1.11027569E-39,4.80184950E-40,-5.60739353E+03,-2.39965583E+03,-1.62420253E+02,-1.80789675E+02,2.33645325E+05,9.99873455E+04,2.00000000E+05,1.00000000E+05,7.77003258E+06,1.63123593E+09
4.00000000E+00,1.00000000E+00,1.18561906E-02,1.39979708E+08,1.60314692E+05,1.18698309E-05,-0.00000000E+00,-0.00000000E+00,-3.96659338E-32,-1.97874117E-32,2.50039355E+08,6.25122061E+07,2.50071118E-02,6.25201995E-03,-2.50365320E+08,-6.26098646E+07,-4.11873719E+04,-4.81346332E+04,-0.00000000E+00,-0.00000000E+00,1.59064295E-39,4.80386580E-40,-0.00000000E+00,-0.00000000E+00,1.59064295E-39,4.80386581E-40,-8.00704938E+03,-2.39965585E+03,-3.44602342E+02,-1.82399818E+02,3.33632671E+05,9.99873458E+04,3.00000000E+05,1.00000000E+05,7.77002864E+06,1.63125176E+09
5.00000000E+00,1.00000000E+00,1.20348576E-02,1.39979638E+08,1.60890636E+05,8.76108951E-06,-0.00000000E+00,-0.00000000E+00,-5.95110359E-32,-1.98584997E-32,3.12561973E+08,6.25226175E+07,3.12601761E-02,6.25306431E-03,-3.12985595E+08,-6.26202748E+07,-9.13223241E+04,-5.06568308E+04,-0.00000000E+00,-0.00000000E+00,2.07098940E-39,4.80319345E-40,-0.00000000E+00,-0.00000000E+00,2.07098940E-39,4.80319345E-40,-1.04067052E+04,-2.39965586E+03,-5.27003162E+02,-1.82400849E+02,4.33620017E+05,9.99873458E+04,4.00000000E+05,1.00000000E+05,7.77002477E+06,1.63125233E+09
6.00000000E+00,1.00000000E+00,1.22150512E-02,1.39979569E+08,1.60893758E+05,6.46653330E-06,-0.00000000E+00,-0.00000000E+00,-7.93698674E-32,-1.98588850E-32,3.75094855E+08,6.25328819E+07,3.75142701E-02,6.25409395E-03,-3.75616134E+08,-6.26305384E+07,-1.41996125E+05,-5.06767980E+04,-0.00000000E+00,-0.00000000E+00,2.55126816E-39,4.80251778E-40,-0.00000000E+00,-0.00000000E+00,2.55126817E-39,4.80251778E-40,-1.28063611E+04,-2.39965586E+03,-7.09403950E+02,-1.82400695E+02,5.33607362E+05,9.99873459E+04,5.00000000E+05,1.00000000E+05,7.77002096E+06,1.63125234E+09
7.00000000E+00,1.00000000E+00,1.23960000E-02,1.39979501E+08,1.60893745E+05,4.77292636E-06,-0.00000000E+00,-0.00000000E+00,-9.92287525E-32,-1.98588834E-32,4.37637872E+08,6.25430177E+07,4.37693807E-02,6.25511068E-03,-4.38256807E+08,-6.26406734E+07,-1.92672928E+05,-5.06768365E+04,-0.00000000E+00,-0.00000000E+00,3.03147965E-39,4.80184694E-40,-0.00000000E+00,-0.00000000E+00,3.03147965E-39,4.80184694E-40,-1.52060170E+04,-2.39965586E+03,-8.91804580E+02,-1.82400546E+02,6.33594708E+05,9.99873458E+04,6.00000000E+05,1.00000000E+05,7.77001718E+06,1.63125234E+09
8.00000000E+00,1.00000000E+00,1.25769351E-02,1.39979434E+08,1.60893730E+05,3.52287931E-06,-0.00000000E+00,-0.00000000E+00,-1.19087635E-31,-1.98588815E-32,5.00190910E+08,6.25530377E+07,5.00254965E-02,6.25611579E-03,-5.00907500E+08,-6.26506926E+07,-2.43349739E+05,-5.06768349E+04,-0.00000000E+00,-0.00000000E+00,3.51162434E-39,4.80118073E-40,-0.00000000E+00,-0.00000000E+00,3.51162434E-39,4.80118074E-40,-1.76056728E+04,-2.39965586E+03,-1.07420507E+03,-1.82400411E+02,7.33582054E+05,9.99873458E+04,7.00000000E+05,1.00000000E+05,7.77001344E+06,1.63125234E+09
9.00000000E+00,1.00000000E+00,1.27582154E-02,1.39979367E+08,1.60893719E+05,2.60022311E-06,-0.00000000E+00,-0.00000000E+00,-1.38946517E-31,-1.98588802E-32,5.62753862E+08,6.25629521E+07,5.62826069E-02,6.25711033E-03,-5.63568106E+08,-6.26606064E+07,-2.94026550E+05,-5.06768320E+04,-0.00000000E+00,-0.00000000E+00,3.99170267E-39,4.80051907E-40,-0.00000000E+00,-0.00000000E+00,3.99170267E-39,4.80051907E-40,-2.00053287E+04,-2.39965586E+03,-1.25660543E+03,-1.82400293E+02,8.33569400E+05,9.99873458E+04,8.00000000E+05,1.00000000E+05,7.77000974E+06,1.63125234E+09
1.00000000E+01,1.00000000E+00,1.29394934E-02,1.39979301E+08,1.60893713E+05,1.91921346E-06,-0.00000000E+00,-0.00000000E+00,-1.58805397E-31,-1.98588794E-32,6.25326631E+08,6.25727694E+07,6.25407020E-02,6.25809514E-03,-6.26238529E+08,-6.26704231E+07,-3.44703359E+05,-5.06768294E+04,-0.00000000E+00,-0.00000000E+00,4.47171510E-39,4.79986187E-40,-0.00000000E+00,-0.00000000E+00,4.47171511E-39,4.79986187E-40,-2.24049845E+04,-2.39965586E+03,-1.43900568E+03,-1.82400189E+02,9.33556746E+05,9.99873458E+04,9.00000000E+05,1.00000000E+05,7.77000608E+06,1.63125234E+09
