Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.05000000E-01,1.39977813E+08,1.04387593E-02,2.97108677E-05,-0.00000000E+00,-0.00000000E+00,2.70334248E-40,4.39558847E-40,2.89882885E+06,2.89900947E+06,2.89928607E-04,2.89946672E-04,-2.89810192E+06,-2.89790621E+06,-2.44118706E-04,-2.15282548E-04,-0.00000000E+00,-0.00000000E+00,2.68655222E-40,4.36828841E-40,-0.00000000E+00,-0.00000000E+00,2.68655222E-40,4.36828841E-40,-8.08069519E+02,-1.22620564E+03,-6.49142624E-08,-9.10935177E-08,8.08069767E+01,1.22620602E+02,8.08197600E-09,1.22640000E-08,7.76992347E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,4.00000000E-02,1.39977813E+08,2.04336699E+02,2.19851824E-05,-0.00000000E+00,-0.00000000E+00,-1.44145889E-35,-2.52192589E-35,5.79834474E+06,2.89951643E+06,5.79925929E-04,2.89997376E-04,-5.79545847E+06,-2.89735708E+06,-4.27369114E-04,-1.59272664E-04,-0.00000000E+00,-0.00000000E+00,8.89896668E-40,7.58504339E-40,-0.00000000E+00,-0.00000000E+00,8.89896669E-40,7.58504339E-40,-3.20768917E+03,-2.39961965E+03,-8.96812354E-07,-3.65315269E-06,3.20769015E+02,2.39962038E+02,2.40000000E+02,2.40000000E+02,7.76992345E+06,1.63109165E+09
3.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977812E+08,3.55333611E+02,1.62759057E-05,-0.00000000E+00,-0.00000000E+00,-5.03809851E-35,-4.38565920E-35,8.69786328E+06,2.89951854E+06,8.69923517E-04,2.89997588E-04,-8.69281766E+06,-2.89735919E+06,-5.62791173E-04,-1.17911629E-04,-0.00000000E+00,-0.00000000E+00,1.78302522E-39,9.91267863E-40,-0.00000000E+00,-0.00000000E+00,1.78302522E-39,9.91267863E-40,-5.60730881E+03,-2.39961964E+03,-1.19553283E-04,-3.78375153E-04,5.60731053E+02,2.39962038E+02,4.80000000E+02,2.40000000E+02,7.76992344E+06,1.63109180E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977812E+08,4.67116621E+02,1.20492567E-05,-0.00000000E+00,-0.00000000E+00,-1.02193730E-34,-5.76538092E-35,1.15973839E+07,2.89952061E+06,1.15992131E-03,2.89997795E-04,-1.15901789E+07,-2.89736125E+06,-6.63045886E-04,-8.72915139E-05,-0.00000000E+00,-0.00000000E+00,2.87185615E-39,1.15994225E-39,-0.00000000E+00,-0.00000000E+00,2.87185615E-39,1.15994225E-39,-8.00692844E+03,-2.39961963E+03,-2.38576748E-03,-5.14162021E-03,8.00693090E+02,2.39962037E+02,7.20000000E+02,2.40000000E+02,7.76992342E+06,1.63109191E+09
5.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977812E+08,5.49859703E+02,8.92021550E-06,-0.00000000E+00,-0.00000000E+00,-1.65736969E-34,-6.78666696E-35,1.44969065E+07,2.89952264E+06,1.44991931E-03,2.89997998E-04,-1.44875422E+07,-2.89736327E+06,-7.37265755E-04,-6.46230433E-05,-0.00000000E+00,-0.00000000E+00,4.10247020E-39,1.28211677E-39,-0.00000000E+00,-0.00000000E+00,4.10247020E-39,1.28211677E-39,-1.04065481E+04,-2.39961963E+03,-1.74987871E-02,-2.70679521E-02,1.04065513E+03,2.39962037E+02,9.60000000E+02,2.40000000E+02,7.76992340E+06,1.63109199E+09
6.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977812E+08,6.11081269E+02,6.60374718E-06,-0.00000000E+00,-0.00000000E+00,-2.37961629E-34,-7.54231601E-35,1.73964312E+07,2.89952462E+06,1.73991751E-03,2.89998197E-04,-1.73849074E+07,-2.89736525E+06,-7.92211690E-04,-4.78412825E-05,-0.00000000E+00,-0.00000000E+00,5.43575475E-39,1.37056730E-39,-0.00000000E+00,-0.00000000E+00,5.43575475E-39,1.37056730E-39,-1.28061677E+04,-2.39961962E+03,-7.19696222E-02,-8.26172807E-02,1.28061716E+03,2.39962036E+02,1.20000000E+03,2.40000000E+02,7.76992339E+06,1.63109205E+09
7.00000000E+00,1.00000000E+00,1.04000000E-01,1.39977811E+08,6.56074956E+02,4.89870053E-06,-0.00000000E+00,-0.00000000E+00,-3.16711864E-34,-8.09766666E-35,2.02959577E+07,2.89952657E+06,2.02991590E-03,2.89998392E-04,-2.02822746E+07,-2.89736719E+06,-8.32654959E-04,-3.54891126E-05,-0.00000000E+00,-0.00000000E+00,6.84453623E-39,1.43417897E-39,-0.00000000E+00,-0.00000000E+00,6.84453623E-39,1.43417897E-39,-1.52057873E+04,-2.39961962E+03,-2.06802308E-01,-1.78491885E-01,1.52057920E+03,2.39962036E+02,1.44000000E+03,2.40000000E+02,7.76992337E+06,1.63109210E+09
8.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977811E+08,6.89069692E+02,3.64459711E-06,-0.00000000E+00,-0.00000000E+00,-4.00263530E-34,-8.50491597E-35,2.31954862E+07,2.89952847E+06,2.31991448E-03,2.89998582E-04,-2.31796437E+07,-2.89736909E+06,-8.62403261E-04,-2.64064940E-05,-0.00000000E+00,-0.00000000E+00,8.30767687E-39,1.47987503E-39,-0.00000000E+00,-0.00000000E+00,8.30767688E-39,1.47987503E-39,-1.76054069E+04,-2.39961961E+03,-4.59455553E-01,-3.02452904E-01,1.76054124E+03,2.39962035E+02,1.68000000E+03,2.40000000E+02,7.76992336E+06,1.63109213E+09
9.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977811E+08,7.13509142E+02,2.71155340E-06,-0.00000000E+00,-0.00000000E+00,-4.87220350E-34,-8.80656860E-35,2.60950165E+07,2.89953033E+06,2.60991325E-03,2.89998769E-04,-2.60770147E+07,-2.89737094E+06,-8.84551376E-04,-1.96771385E-05,-0.00000000E+00,-0.00000000E+00,9.80860734E-39,1.51309434E-39,-0.00000000E+00,-0.00000000E+00,9.80860734E-39,1.51309434E-39,-2.00050265E+04,-2.39961961E+03,-8.41346546E-01,-4.32378723E-01,2.00050327E+03,2.39962035E+02,1.92000000E+03,2.40000000E+02,7.76992334E+06,1.63109216E+09
1.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977811E+08,7.31588524E+02,2.01737575E-06,-0.00000000E+00,-0.00000000E+00,-5.76697438E-34,-9.02971984E-35,2.89945487E+07,2.89953214E+06,2.89991220E-03,2.89998951E-04,-2.89743874E+07,-2.89737275E+06,-9.01148939E-04,-1.48551414E-05,-0.00000000E+00,-0.00000000E+00,1.13370008E-38,1.53723025E-39,-0.00000000E+00,-0.00000000E+00,1.13370008E-38,1.53723025E-39,-2.24046461E+04,-2.39961960E+03,-1.34690874E+00,-5.50150853E-01,2.24046530E+03,2.39962035E+02,2.16000000E+03,2.40000000E+02,7.76992333E+06,1.63109217E+09
