Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,9.00000000E-03,1.39978416E+08,3.72957296E-03,9.03745172E-03,-0.00000000E+00,-0.00000000E+00,8.25664394E-40,1.26766414E-39,1.93414545E+07,1.93418349E+07,1.93443357E-03,1.93447164E-03,-1.93407405E+07,-1.93407440E+07,-9.74555744E-04,-4.37303383E-04,-0.00000000E+00,-0.00000000E+00,8.20536180E-40,1.25979083E-39,-0.00000000E+00,-0.00000000E+00,8.20536180E-40,1.25979083E-39,-8.08073003E+02,-1.22621091E+03,-3.16827066E-08,-2.77246205E-08,8.08074665E+01,1.22621344E+02,8.08197600E-09,1.22640000E-08,7.76995694E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,8.00000000E-03,1.39978405E+08,1.21479144E+02,9.49597223E+01,-0.00000000E+00,-0.00000000E+00,-9.51945973E-36,-1.49922692E-35,3.86841915E+07,1.93428626E+07,3.86899549E-03,1.93457452E-03,-3.86813291E+07,-1.93407138E+07,-1.19592172E-03,-9.72582352E-05,-0.00000000E+00,-0.00000000E+00,2.24018669E-39,1.50684393E-39,-0.00000000E+00,-0.00000000E+00,2.24018669E-39,1.50684393E-39,-3.20770281E+03,-2.39962976E+03,-1.33915077E-02,-6.26202258E-02,3.20770945E+02,2.39963475E+02,2.40000000E+02,2.40000000E+02,7.76995631E+06,1.63109156E+09
3.00000000E+00,1.00000000E+00,8.00000000E-03,1.39978395E+08,1.48424708E+02,2.65525937E+02,-0.00000000E+00,-0.00000000E+00,-2.66225661E-35,-1.83181217E-35,5.80274919E+07,1.93433004E+07,5.80361391E-03,1.93461841E-03,-5.80224793E+07,-1.93411502E+07,-1.28173110E-03,-2.57044647E-04,-0.00000000E+00,-0.00000000E+00,3.77691834E-39,1.55292214E-39,-0.00000000E+00,-0.00000000E+00,3.77691834E-39,1.55292214E-39,-5.60733242E+03,-2.39962961E+03,-1.77549136E-01,-2.28151332E-01,5.60734406E+02,2.39963461E+02,4.80000000E+02,2.40000000E+02,7.76995578E+06,1.63109159E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39978387E+08,1.54349597E+02,4.52868124E+02,-0.00000000E+00,-0.00000000E+00,-4.54079313E-35,-1.90494223E-35,7.73711849E+07,1.93436930E+07,7.73827169E-03,1.93465778E-03,-7.73640211E+07,-1.93415418E+07,-6.89768069E-03,-1.81831209E-02,-0.00000000E+00,-0.00000000E+00,5.33523119E-39,1.56113805E-39,-0.00000000E+00,-0.00000000E+00,5.33523119E-39,1.56113805E-39,-8.00696189E+03,-2.39962947E+03,-4.18129998E-01,-2.44378402E-01,8.00697855E+02,2.39963449E+02,7.20000000E+02,2.40000000E+02,7.76995531E+06,1.63109160E+09
5.00000000E+00,1.00000000E+00,4.00000000E-02,1.39978379E+08,1.55640024E+02,6.43877550E+02,-0.00000000E+00,-0.00000000E+00,-6.45609378E-35,-1.92086979E-35,9.67152431E+07,1.93440583E+07,9.67296610E-03,1.93469441E-03,-9.67059276E+07,-1.93419065E+07,-6.59618228E-02,-1.05001491E-01,-0.00000000E+00,-0.00000000E+00,6.89730366E-39,1.56253838E-39,-0.00000000E+00,-0.00000000E+00,6.89730366E-39,1.56253838E-39,-1.04065912E+04,-2.39962934E+03,-6.62756294E-01,-2.44683872E-01,1.04066129E+03,2.39963436E+02,9.60000000E+02,2.40000000E+02,7.76995487E+06,1.63109160E+09
6.00000000E+00,1.00000000E+00,7.96743542E-02,1.39978371E+08,1.55886621E+02,8.35648242E+02,-0.00000000E+00,-0.00000000E+00,-8.37901576E-35,-1.92391350E-35,1.16059652E+08,1.93444088E+07,1.16076957E-02,1.93472957E-03,-1.16048184E+08,-1.93422567E+07,-2.18939543E-01,-1.86084942E-01,-0.00000000E+00,-0.00000000E+00,8.45999299E-39,1.56276041E-39,-0.00000000E+00,-0.00000000E+00,8.45999299E-39,1.56276041E-39,-1.28062204E+04,-2.39962921E+03,-9.07444014E-01,-2.44688497E-01,1.28062471E+03,2.39963424E+02,1.20000000E+03,2.40000000E+02,7.76995445E+06,1.63109160E+09
7.00000000E+00,1.00000000E+00,7.83849159E-02,1.39978364E+08,1.55920655E+02,1.02754903E+03,-0.00000000E+00,-0.00000000E+00,-1.03032295E-34,-1.92433356E-35,1.35404404E+08,1.93447521E+07,1.35424597E-02,1.93476401E-03,-1.35390784E+08,-1.93425998E+07,-4.22419255E-01,-2.11910846E-01,-0.00000000E+00,-0.00000000E+00,1.00227743E-38,1.56279018E-39,-0.00000000E+00,-0.00000000E+00,1.00227743E-38,1.56279018E-39,-1.52058495E+04,-2.39962909E+03,-1.15213392E+00,-2.44690133E-01,1.52058813E+03,2.39963411E+02,1.44000000E+03,2.40000000E+02,7.76995404E+06,1.63109160E+09
8.00000000E+00,1.00000000E+00,7.84012270E-02,1.39978356E+08,1.55923544E+02,1.21946581E+03,-0.00000000E+00,-0.00000000E+00,-1.22275909E-34,-1.92436923E-35,1.54749496E+08,1.93450921E+07,1.54772578E-02,1.93479811E-03,-1.54733724E+08,-1.93429398E+07,-6.37397814E-01,-2.16193975E-01,-0.00000000E+00,-0.00000000E+00,1.15855661E-38,1.56279241E-39,-0.00000000E+00,-0.00000000E+00,1.15855661E-38,1.56279241E-39,-1.76054785E+04,-2.39962896E+03,-1.39682552E+00,-2.44691835E-01,1.76055152E+03,2.39963399E+02,1.68000000E+03,2.40000000E+02,7.76995363E+06,1.63109160E+09
9.00000000E+00,1.00000000E+00,1.69799186E-02,1.39978349E+08,1.55923026E+02,1.41138430E+03,-0.00000000E+00,-0.00000000E+00,-1.41519570E-34,-1.92436283E-35,1.74094927E+08,1.93454306E+07,1.74120899E-02,1.93483207E-03,-1.74077002E+08,-1.93432782E+07,-8.53946213E-01,-2.16672982E-01,-0.00000000E+00,-0.00000000E+00,1.31483576E-38,1.56279105E-39,-0.00000000E+00,-0.00000000E+00,1.31483576E-38,1.56279105E-39,-2.00051073E+04,-2.39962884E+03,-1.64151884E+00,-2.44693562E-01,2.00051491E+03,2.39963386E+02,1.92000000E+03,2.40000000E+02,7.76995323E+06,1.63109160E+09
1.00000000E+01,1.00000000E+00,1.69971924E-02,1.39978342E+08,1.55922222E+02,1.60330314E+03,-0.00000000E+00,-0.00000000E+00,-1.60763141E-34,-1.92435292E-35,1.93440695E+08,1.93457684E+07,1.93469558E-02,1.93486596E-03,-1.93420618E+08,-1.93436160E+07,-1.07065861E+00,-2.16726506E-01,-0.00000000E+00,-0.00000000E+00,1.47111474E-38,1.56278930E-39,-0.00000000E+00,-0.00000000E+00,1.47111474E-38,1.56278930E-39,-2.24047360E+04,-2.39962871E+03,-1.88621391E+00,-2.44695299E-01,2.24047828E+03,2.39963373E+02,2.16000000E+03,2.40000000E+02,7.76995282E+06,1.63109160E+09
