Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.05000000E-01,1.39977937E+08,1.04848858E-02,2.97108677E-05,-0.00000000E+00,-0.00000000E+00,2.67629478E-40,4.33865522E-40,6.24565562E+06,6.24584278E+06,6.24662955E-04,6.24681675E-04,-6.24492983E+06,-6.24474064E+06,-5.26033610E-04,-4.63915472E-04,-0.00000000E+00,-0.00000000E+00,2.65967252E-40,4.31170877E-40,-0.00000000E+00,-0.00000000E+00,2.65967252E-40,4.31170878E-40,-8.08070236E+02,-1.22620673E+03,-6.49142580E-08,-9.10935110E-08,8.08070771E+01,1.22620754E+02,8.08197600E-09,1.22640000E-08,7.76993037E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,4.00000000E-02,1.39977936E+08,2.04336628E+02,2.19851824E-05,-0.00000000E+00,-0.00000000E+00,-1.44145982E-35,-2.52192501E-35,1.24920189E+07,6.24636840E+06,1.24939669E-03,6.24734249E-04,-1.24891348E+07,-6.24421012E+06,-9.20963555E-04,-3.43254811E-04,-0.00000000E+00,-0.00000000E+00,8.75583258E-40,7.41302670E-40,-0.00000000E+00,-0.00000000E+00,8.75583259E-40,7.41302671E-40,-3.20769200E+03,-2.39962175E+03,-2.24382522E-04,-1.08175894E-03,3.20769412E+02,2.39962334E+02,2.40000000E+02,2.40000000E+02,7.76993029E+06,1.63109165E+09
3.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977935E+08,3.55317396E+02,1.62759057E-05,-0.00000000E+00,-0.00000000E+00,-5.03803402E-35,-4.38545905E-35,1.87384070E+07,6.24638811E+06,1.87413291E-03,6.24736224E-04,-1.87333646E+07,-6.24422977E+06,-1.21281769E-03,-2.54116657E-04,-0.00000000E+00,-0.00000000E+00,1.74375733E-39,9.59816466E-40,-0.00000000E+00,-0.00000000E+00,1.74375733E-39,9.59816466E-40,-5.60731372E+03,-2.39962173E+03,-1.82849753E-02,-4.87356292E-02,5.60731744E+02,2.39962332E+02,4.80000000E+02,2.40000000E+02,7.76993021E+06,1.63109180E+09
4.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977933E+08,4.66962931E+02,1.20492567E-05,-0.00000000E+00,-0.00000000E+00,-1.02183824E-34,-5.76348395E-35,2.49848139E+07,6.24640693E+06,2.49887102E-03,6.24738109E-04,-2.49776131E+07,-6.24424853E+06,-1.42888824E-03,-1.88153687E-04,-0.00000000E+00,-0.00000000E+00,2.79297224E-39,1.11373603E-39,-0.00000000E+00,-0.00000000E+00,2.79297224E-39,1.11373603E-39,-8.00693543E+03,-2.39962170E+03,-1.81161683E-01,-2.93095281E-01,8.00694075E+02,2.39962330E+02,7.20000000E+02,2.40000000E+02,7.76993014E+06,1.63109191E+09
5.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977932E+08,5.49302214E+02,8.92021550E-06,-0.00000000E+00,-0.00000000E+00,-1.65683582E-34,-6.77978595E-35,3.12312387E+07,6.24642483E+06,3.12361092E-03,6.24739903E-04,-3.12218795E+07,-6.24426637E+06,-1.58950337E-03,-1.41458031E-04,-0.00000000E+00,-0.00000000E+00,3.96954033E-39,1.22187390E-39,-0.00000000E+00,-0.00000000E+00,3.96954033E-39,1.22187390E-39,-1.04065571E+04,-2.39962168E+03,-7.07914102E-01,-7.31339274E-01,1.04065640E+03,2.39962329E+02,9.60000000E+02,2.40000000E+02,7.76993008E+06,1.63109199E+09
6.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977931E+08,6.09878791E+02,6.60374718E-06,-0.00000000E+00,-0.00000000E+00,-2.37797131E-34,-7.52747400E-35,3.74776806E+07,6.24644184E+06,3.74835253E-03,6.24741607E-04,-3.74661628E+07,-6.24428332E+06,-1.72920877E-03,-1.61252820E-04,-0.00000000E+00,-0.00000000E+00,5.23544899E-39,1.29762795E-39,-0.00000000E+00,-0.00000000E+00,5.23544900E-39,1.29762795E-39,-1.28061788E+04,-2.39962166E+03,-1.68256842E+00,-1.15527808E+00,1.28061873E+03,2.39962327E+02,1.20000000E+03,2.40000000E+02,7.76993001E+06,1.63109205E+09
7.00000000E+00,1.00000000E+00,4.00000000E-02,1.39977930E+08,6.54433503E+02,4.88883668E-06,-0.00000000E+00,-0.00000000E+00,-3.16245679E-34,-8.07740644E-35,4.37241385E+07,6.24645796E+06,4.37309575E-03,6.24743223E-04,-4.37104622E+07,-6.24429938E+06,-2.13009720E-03,-7.99124856E-04,-0.00000000E+00,-0.00000000E+00,6.56384000E-39,1.35052494E-39,-0.00000000E+00,-0.00000000E+00,6.56384000E-39,1.35052494E-39,-1.52058004E+04,-2.39962164E+03,-3.00287423E+00,-1.42992368E+00,1.52058106E+03,2.39962326E+02,1.44000000E+03,2.40000000E+02,7.76992995E+06,1.63109210E+09
8.00000000E+00,1.00000000E+00,1.04000000E-01,1.39977929E+08,6.86895624E+02,3.63304550E-06,-0.00000000E+00,-0.00000000E+00,-3.99500698E-34,-8.47808176E-35,4.99706118E+07,6.24647324E+06,4.99784051E-03,6.24744755E-04,-4.99547768E+07,-6.24431461E+06,-5.29485295E-03,-5.87645777E-03,-0.00000000E+00,-0.00000000E+00,7.93703064E-39,1.38685909E-39,-0.00000000E+00,-0.00000000E+00,7.93703065E-39,1.38685909E-39,-1.76054220E+04,-2.39962163E+03,-4.51939373E+00,-1.56131503E+00,1.76054338E+03,2.39962324E+02,1.68000000E+03,2.40000000E+02,7.76992990E+06,1.63109213E+09
9.00000000E+00,1.00000000E+00,2.32000000E-01,1.39977928E+08,7.10859277E+02,2.70295910E-06,-0.00000000E+00,-0.00000000E+00,-4.86151525E-34,-8.77386170E-35,5.62170995E+07,6.24648775E+06,5.62258672E-03,6.24746209E-04,-5.61991059E+07,-6.24432906E+06,-2.24884245E-02,-2.79201295E-02,-0.00000000E+00,-0.00000000E+00,9.33995320E-39,1.41206933E-39,-0.00000000E+00,-0.00000000E+00,9.33995320E-39,1.41206933E-39,-2.00050436E+04,-2.39962161E+03,-6.11742578E+00,-1.61510777E+00,2.00050570E+03,2.39962323E+02,1.92000000E+03,2.40000000E+02,7.76992984E+06,1.63109215E+09
1.00000000E+01,1.00000000E+00,2.32000000E-01,1.39977927E+08,7.28624732E+02,2.01098167E-06,-0.00000000E+00,-0.00000000E+00,-5.75276772E-34,-8.99313818E-35,6.24636011E+07,6.24650156E+06,6.24733431E-03,6.24747594E-04,-6.24434487E+07,-6.24434283E+06,-8.42444798E-02,-9.05981438E-02,-0.00000000E+00,-0.00000000E+00,1.07631878E-38,1.42958217E-39,-0.00000000E+00,-0.00000000E+00,1.07631878E-38,1.42958217E-39,-2.24046652E+04,-2.39962160E+03,-7.74613863E+00,-1.63480423E+00,2.24046803E+03,2.39962322E+02,2.16000000E+03,2.40000000E+02,7.76992979E+06,1.63109217E+09
