Time [d],dt_flow [d],dt_tran [d],Global Water Mass [kg],Global Vaq [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,4.89000000E-01,1.39977705E+08,1.40000000E-02,-0.00000000E+00,-0.00000000E+00,5.10794081E-18,6.95014912E-18,1.45128610E+04,2.20225891E+04,1.45151593E-06,2.20260835E-06,1.57897681E+04,2.39601867E+04,1.57922698E-06,2.39639897E-06,-0.00000000E+00,-0.00000000E+00,-6.09396182E-19,-7.46830685E-19,-0.00000000E+00,-0.00000000E+00,9.07673209E-19,1.19406737E-18,-3.36695372E+04,-5.10918621E+04,-3.36749000E-06,-5.10999999E-06,3.36684851E+03,5.10902658E+03,3.36749000E-07,5.11000000E-07,7.76991745E+06,1.40000000E-02
2.00000000E+00,4.88000000E-01,2.32000000E-01,1.39977705E+08,9.99998546E+03,-0.00000000E+00,-0.00000000E+00,-2.85388777E-02,-4.12589029E-02,5.76099344E+04,4.30971009E+04,5.76190838E-06,4.31039520E-06,6.26786184E+04,4.68888785E+04,6.26885751E-06,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.17410864E-18,-5.46402119E-19,-0.00000000E+00,-0.00000000E+00,2.28215385E-18,1.39202939E-18,-1.33653612E+05,-9.99840745E+04,-1.47021994E-05,-1.25703672E-05,1.33649436E+04,9.99809506E+03,1.00000000E+04,1.00000000E+04,7.76991745E+06,9.99998546E+03
3.00000000E+00,1.00000000E+00,4.88000000E-01,1.39977705E+08,1.99999137E+04,-0.00000000E+00,-0.00000000E+00,-1.00319229E-01,-8.18990720E-02,1.00707035E+05,4.30971009E+04,1.00723036E-05,4.31039520E-06,1.09567497E+05,4.68888785E+04,1.09584909E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-1.67679527E-18,-4.88308081E-19,-0.00000000E+00,-0.00000000E+00,3.71604730E-18,1.44765551E-18,-2.33637686E+05,-9.99840745E+04,-5.10976838E-05,-5.02397847E-05,2.33630386E+04,9.99809506E+03,2.00000000E+04,1.00000000E+04,7.76991745E+06,1.99999137E+04
4.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.99997915E+04,-0.00000000E+00,-0.00000000E+00,-2.22175032E-01,-1.21855803E-01,1.43804136E+05,4.30971009E+04,1.43826988E-05,4.31039520E-06,1.56456375E+05,4.68888785E+04,1.56481242E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.11461660E-18,-4.37821330E-19,-0.00000000E+00,-0.00000000E+00,5.21172421E-18,1.49567691E-18,-3.33621761E+05,-9.99840745E+04,-4.55742432E-04,-4.04644748E-04,3.33611337E+04,9.99809506E+03,3.00000000E+04,1.00000000E+04,7.76991745E+06,2.99997915E+04
5.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.99996287E+04,-0.00000000E+00,-0.00000000E+00,-3.83471339E-01,-1.61296306E-01,1.86901237E+05,4.30971009E+04,1.86930940E-05,4.31039520E-06,2.03345254E+05,4.68888785E+04,2.03377576E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.51724598E-18,-4.02629384E-19,-0.00000000E+00,-0.00000000E+00,6.74012967E-18,1.52840546E-18,-4.33605835E+05,-9.99840745E+04,-1.95649961E-03,-1.50075717E-03,4.33592288E+04,9.99809506E+03,4.00000000E+04,1.00000000E+04,7.76991745E+06,3.99996287E+04
6.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,4.99994245E+04,-0.00000000E+00,-0.00000000E+00,-5.83715804E-01,-2.00244465E-01,2.29998338E+05,4.30971009E+04,2.30034892E-05,4.31039520E-06,2.50234132E+05,4.68888785E+04,2.50273909E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-2.91226619E-18,-3.95020209E-19,-0.00000000E+00,-0.00000000E+00,8.27368284E-18,1.53355317E-18,-5.33589910E+05,-9.99840745E+04,-6.01806114E-03,-4.06156153E-03,5.33573238E+04,9.99809506E+03,5.00000000E+04,1.00000000E+04,7.76991745E+06,4.99994245E+04
7.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,5.99991767E+04,-0.00000000E+00,-0.00000000E+00,-8.22438676E-01,-2.38722871E-01,2.73095439E+05,4.30971009E+04,2.73138844E-05,4.31039520E-06,2.97123011E+05,4.68888785E+04,2.97170243E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-3.34424528E-18,-4.31979086E-19,-0.00000000E+00,-0.00000000E+00,9.76781761E-18,1.49413478E-18,-6.33573984E+05,-9.99840745E+04,-1.51663570E-02,-9.14829588E-03,6.33554189E+04,9.99809506E+03,6.00000000E+04,1.00000000E+04,7.76991745E+06,5.99991767E+04
8.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,6.99988817E+04,-0.00000000E+00,-0.00000000E+00,-1.09919157E+00,-2.76752897E-01,3.16192540E+05,4.30971009E+04,3.16242796E-05,4.31039520E-06,3.44011889E+05,4.68888785E+04,3.44066576E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-3.88003030E-18,-5.35785024E-19,-0.00000000E+00,-0.00000000E+00,1.11556889E-17,1.38787124E-18,-7.33558059E+05,-9.99840745E+04,-3.33832594E-02,-1.82169024E-02,7.33535139E+04,9.99809506E+03,7.00000000E+04,1.00000000E+04,7.76991745E+06,6.99988817E+04
9.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,7.99985342E+04,-0.00000000E+00,-0.00000000E+00,-1.41354633E+00,-3.14354759E-01,3.59289641E+05,4.30971009E+04,3.59346748E-05,4.31039520E-06,3.90900768E+05,4.68888785E+04,3.90962910E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-4.61459356E-18,-7.34563259E-19,-0.00000000E+00,-0.00000000E+00,1.23423262E-17,1.18663736E-18,-8.33542133E+05,-9.99840745E+04,-6.65422984E-02,-3.31590390E-02,8.33516090E+04,9.99809506E+03,8.00000000E+04,1.00000000E+04,7.76991745E+06,7.99985342E+04
1.00000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,8.99981263E+04,-0.00000000E+00,-0.00000000E+00,-1.76509392E+00,-3.51547586E-01,4.02386742E+05,4.30971009E+04,4.02450700E-05,4.31039520E-06,4.37789646E+05,4.68888785E+04,4.37859243E-05,4.68963335E-06,-0.00000000E+00,-0.00000000E+00,-5.67738971E-18,-1.06279615E-18,-0.00000000E+00,-0.00000000E+00,1.31982770E-17,8.55950746E-19,-9.33526208E+05,-9.99840745E+04,-1.22879924E-01,-5.63376257E-02,9.33497041E+04,9.99809506E+03,9.00000000E+04,1.00000000E+04,7.76991745E+06,8.99981263E+04
