Time [d],dt_flow [d],dt_tran [d],Global Water Mass [kg],Global Vaq [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,4.89000000E-01,1.39977705E+08,1.40000001E-02,-0.00000000E+00,-0.00000000E+00,-5.25243945E-18,-1.10635557E-17,1.45131827E+04,2.20230832E+04,1.45154811E-06,2.20265777E-06,1.57900974E+04,2.39606808E+04,1.57925992E-06,2.39644839E-06,-0.00000000E+00,-0.00000000E+00,-6.12839107E-20,-2.47623820E-20,-0.00000000E+00,-0.00000000E+00,3.31993082E-19,4.16450992E-19,-3.36701884E+04,-5.10928504E+04,-3.36749121E-06,-5.11000230E-06,3.36684851E+03,5.10902658E+03,3.36749000E-07,5.11000000E-07,7.76991745E+06,1.40000001E-02
2.00000000E+00,4.88000000E-01,2.32000000E-01,1.39977705E+08,9.99998547E+03,-0.00000000E+00,-0.00000000E+00,-2.85370528E-02,-4.12558374E-02,5.76112230E+04,4.30980679E+04,5.76203726E-06,4.31049191E-06,6.26799146E+04,4.68898455E+04,6.26898716E-06,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,3.25155511E-20,8.36558189E-20,-0.00000000E+00,-0.00000000E+00,8.66611299E-19,5.24298874E-19,-1.33656197E+05,-9.99860084E+04,-1.33796186E-05,-1.00235672E-05,1.33649436E+04,9.99809506E+03,1.00000000E+04,1.00000000E+04,7.76991745E+06,9.99998547E+03
3.00000000E+00,1.00000000E+00,4.88000000E-01,1.39977705E+08,1.99999138E+04,-0.00000000E+00,-0.00000000E+00,-1.00308680E-01,-8.18880705E-02,1.00709291E+05,4.30980679E+04,1.00725292E-05,4.31049191E-06,1.09569760E+05,4.68898455E+04,1.09587172E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,9.09554179E-20,4.98713960E-20,-0.00000000E+00,-0.00000000E+00,1.36526572E-18,4.89943245E-19,-2.33642205E+05,-9.99860084E+04,-2.37435186E-05,-1.05798721E-05,2.33630386E+04,9.99809506E+03,2.00000000E+04,1.00000000E+04,7.76991745E+06,1.99999138E+04
4.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.99997919E+04,-0.00000000E+00,-0.00000000E+00,-2.22139462E-01,-1.21830782E-01,1.43807359E+05,4.30980679E+04,1.43830211E-05,4.31049191E-06,1.56459606E+05,4.68898455E+04,1.56484473E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,9.95766794E-20,8.62126149E-21,-0.00000000E+00,-0.00000000E+00,1.81338822E-18,4.48122499E-19,-3.33628214E+05,-9.99860084E+04,-4.50417025E-05,-2.12981839E-05,3.33611337E+04,9.99809506E+03,3.00000000E+04,1.00000000E+04,7.76991745E+06,2.99997919E+04
5.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.99996306E+04,-0.00000000E+00,-0.00000000E+00,-3.83391609E-01,-1.61252148E-01,1.86905427E+05,4.30980679E+04,1.86935130E-05,4.31049191E-06,2.03349451E+05,4.68898455E+04,2.03381774E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,5.16792388E-20,-4.78974406E-20,-0.00000000E+00,-0.00000000E+00,2.20442194E-18,3.91033719E-19,-4.33614222E+05,-9.99860084E+04,-1.10471174E-04,-6.54294718E-05,4.33592288E+04,9.99809506E+03,4.00000000E+04,1.00000000E+04,7.76991745E+06,3.99996306E+04
6.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,4.99994304E+04,-0.00000000E+00,-0.00000000E+00,-5.83567441E-01,-2.00175832E-01,2.30003495E+05,4.30980679E+04,2.30040049E-05,4.31049191E-06,2.50239296E+05,4.68898455E+04,2.50279074E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,-8.04084424E-20,-1.32087681E-19,-0.00000000E+00,-0.00000000E+00,2.51069571E-18,3.06273770E-19,-5.33600231E+05,-9.99860084E+04,-3.02992509E-04,-1.92521335E-04,5.33573238E+04,9.99809506E+03,5.00000000E+04,1.00000000E+04,7.76991745E+06,4.99994304E+04
7.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,5.99991913E+04,-0.00000000E+00,-0.00000000E+00,-8.22191644E-01,-2.38624203E-01,2.73101563E+05,4.30980679E+04,2.73144968E-05,4.31049191E-06,2.97129142E+05,4.68898455E+04,2.97176375E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,-3.41504163E-19,-2.61095720E-19,-0.00000000E+00,-0.00000000E+00,2.68739220E-18,1.76696491E-19,-6.33586239E+05,-9.99860084E+04,-7.93840495E-04,-4.90847986E-04,6.33554189E+04,9.99809506E+03,6.00000000E+04,1.00000000E+04,7.76991745E+06,5.99991913E+04
8.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,6.99989136E+04,-0.00000000E+00,-0.00000000E+00,-1.09881005E+00,-2.76618403E-01,3.16199630E+05,4.30980679E+04,3.16249887E-05,4.31049191E-06,3.44018987E+05,4.68898455E+04,3.44073676E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,-7.98914762E-19,-4.57410600E-19,-0.00000000E+00,-0.00000000E+00,2.66720509E-18,-2.01871097E-20,-7.33572247E+05,-9.99860084E+04,-1.89879864E-03,-1.10495815E-03,7.33535139E+04,9.99809506E+03,7.00000000E+04,1.00000000E+04,7.76991745E+06,6.99989136E+04
9.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,7.99985972E+04,-0.00000000E+00,-0.00000000E+00,-1.41298847E+00,-3.14178419E-01,3.59297698E+05,4.30980679E+04,3.59354807E-05,4.31049191E-06,3.90908833E+05,4.68898455E+04,3.90970976E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,-1.54833977E-18,-7.49425009E-19,-0.00000000E+00,-0.00000000E+00,2.35443533E-18,-3.12769758E-19,-8.33558256E+05,-9.99860084E+04,-4.15146948E-03,-2.25267083E-03,8.33516090E+04,9.99809506E+03,8.00000000E+04,1.00000000E+04,7.76991745E+06,7.99985972E+04
1.00000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,8.99982416E+04,-0.00000000E+00,-0.00000000E+00,-1.76431161E+00,-3.51323144E-01,4.02395766E+05,4.30980679E+04,4.02459726E-05,4.31049191E-06,4.37798678E+05,4.68898455E+04,4.37868277E-05,4.68973007E-06,-0.00000000E+00,-0.00000000E+00,-2.72028834E-18,-1.17194857E-18,-0.00000000E+00,-0.00000000E+00,1.61857426E-18,-7.35861075E-19,-9.33544264E+05,-9.99860084E+04,-8.39585997E-03,-4.24439049E-03,9.33497041E+04,9.99809506E+03,9.00000000E+04,1.00000000E+04,7.76991745E+06,8.99982416E+04
