Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.25915242E-01,1.39977769E+08,1.05583536E-02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,2.56071510E-40,4.24797498E-40,1.30394821E+07,1.30412908E+07,1.30415469E-03,1.30433559E-03,-1.30324931E+07,-1.30306849E+07,-1.10295118E-03,-9.66459085E-04,-0.00000000E+00,-0.00000000E+00,2.54481094E-40,4.22159247E-40,-0.00000000E+00,-0.00000000E+00,2.54481094E-40,4.22159247E-40,-7.07060607E+03,-1.07292960E+04,-5.70495837E-07,-7.95770624E-07,8.08069414E+01,1.22620548E+02,8.08197600E-09,1.22640000E-08,7.76992103E+06,1.63109144E+09
2.00000000E+00,4.88000000E-01,1.61951108E-02,1.39977768E+08,2.03897515E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-1.45362491E-35,-2.51650511E-35,2.60858422E+07,1.30463657E+07,2.60899729E-03,1.30484316E-03,-2.60580973E+07,-1.30256097E+07,-1.92422818E-03,-7.15429887E-04,-0.00000000E+00,-0.00000000E+00,8.43833455E-40,7.07493701E-40,-0.00000000E+00,-0.00000000E+00,8.43833455E-40,7.07493701E-40,-2.80672713E+04,-2.09966652E+04,-1.38669511E-01,-5.41220732E-01,3.20768875E+02,2.39961933E+02,2.40000000E+02,2.40000000E+02,7.76992099E+06,1.63109165E+09
3.00000000E+00,1.00000000E+00,5.63902217E-02,1.39977768E+08,3.52652678E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-5.02492138E-35,-4.35256883E-35,3.91322284E+07,1.30463861E+07,3.91384250E-03,1.30484521E-03,-3.90837274E+07,-1.30256301E+07,-2.56447472E-03,-6.70400467E-04,-0.00000000E+00,-0.00000000E+00,1.66147475E-39,8.97022634E-40,-0.00000000E+00,-0.00000000E+00,1.66147475E-39,8.97022634E-40,-4.90639364E+04,-2.09966651E+04,-3.00816454E+00,-5.54215623E+00,5.60730807E+02,2.39961932E+02,4.80000000E+02,2.40000000E+02,7.76992095E+06,1.63109180E+09
4.00000000E+00,1.00000000E+00,1.15365833E-01,1.39977767E+08,4.57609259E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-1.01273820E-34,-5.64803291E-35,5.21786330E+07,1.30464046E+07,5.21868957E-03,1.30484707E-03,-5.21093759E+07,-1.30256485E+07,-7.08808863E-03,-1.39788613E-02,-0.00000000E+00,-0.00000000E+00,2.63092671E-39,1.02068665E-39,-0.00000000E+00,-0.00000000E+00,2.63092671E-39,1.02068665E-39,-7.00606015E+04,-2.09966650E+04,-1.17837029E+01,-1.08821541E+01,8.00692738E+02,2.39961931E+02,7.20000000E+02,2.40000000E+02,7.76992092E+06,1.63109190E+09
5.00000000E+00,1.00000000E+00,7.22661353E-02,1.39977767E+08,5.32062878E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-1.63235355E-34,-6.56700329E-35,6.52250545E+07,1.30464215E+07,6.52353833E-03,1.30484876E-03,-6.51350413E+07,-1.30256654E+07,-1.27441710E-01,-2.84313886E-01,-0.00000000E+00,-0.00000000E+00,3.69944204E-39,1.09952098E-39,-0.00000000E+00,-0.00000000E+00,3.69944204E-39,1.09952098E-39,-9.10572664E+04,-2.09966650E+04,-2.38829409E+01,-1.26544025E+01,1.04065467E+03,2.39961930E+02,9.60000000E+02,2.40000000E+02,7.76992089E+06,1.63109197E+09
6.00000000E+00,1.00000000E+00,1.90218002E-01,1.39977766E+08,5.85718768E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-2.32916964E-34,-7.22927028E-35,7.82714918E+07,1.30464372E+07,7.82838866E-03,1.30485034E-03,-7.81607224E+07,-1.30256811E+07,-1.15145597E+00,-1.84211834E+00,-0.00000000E+00,-0.00000000E+00,4.82948399E-39,1.14898044E-39,-0.00000000E+00,-0.00000000E+00,4.82948399E-39,1.14898044E-39,-1.12053931E+05,-2.09966649E+04,-3.67729215E+01,-1.29798128E+01,1.28061660E+03,2.39961930E+02,1.20000000E+03,2.40000000E+02,7.76992086E+06,1.63109203E+09
7.00000000E+00,1.00000000E+00,1.90218935E-01,1.39977766E+08,6.22946977E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-3.08020202E-34,-7.68877274E-35,9.13179440E+07,1.30464522E+07,9.13324049E-03,1.30485183E-03,-9.11864183E+07,-1.30256959E+07,-5.06563324E+00,-5.75961174E+00,-0.00000000E+00,-0.00000000E+00,5.99719913E-39,1.17919709E-39,-0.00000000E+00,-0.00000000E+00,5.99719913E-39,1.17919709E-39,-1.33050596E+05,-2.09966648E+04,-4.97846000E+01,-1.30227453E+01,1.52057853E+03,2.39961929E+02,1.44000000E+03,2.40000000E+02,7.76992083E+06,1.63109207E+09
8.00000000E+00,1.00000000E+00,1.00244389E-01,1.39977765E+08,6.46217383E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-3.86714772E-34,-7.97599605E-35,1.04364411E+08,1.30464666E+07,1.04380938E-02,1.30485327E-03,-1.04212129E+08,-1.30257103E+07,-1.40364427E+01,-1.13288912E+01,-0.00000000E+00,-0.00000000E+00,7.18752403E-39,1.19683254E-39,-0.00000000E+00,-0.00000000E+00,7.18752403E-39,1.19683254E-39,-1.54047261E+05,-2.09966647E+04,-6.28107124E+01,-1.30271789E+01,1.76054045E+03,2.39961928E+02,1.68000000E+03,2.40000000E+02,7.76992081E+06,1.63109209E+09
9.00000000E+00,1.00000000E+00,1.00245359E-01,1.39977765E+08,6.58878405E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-4.67477029E-34,-8.13226922E-35,1.17410891E+08,1.30464807E+07,1.17429485E-02,1.30485469E-03,-1.17237853E+08,-1.30257244E+07,-2.84987643E+01,-1.64941099E+01,-0.00000000E+00,-0.00000000E+00,8.39057648E-39,1.20661254E-39,-0.00000000E+00,-0.00000000E+00,8.39057648E-39,1.20661254E-39,-1.75043926E+05,-2.09966647E+04,-7.58381994E+01,-1.30275785E+01,2.00050238E+03,2.39961927E+02,1.92000000E+03,2.40000000E+02,7.76992078E+06,1.63109210E+09
1.00000000E+01,1.00000000E+00,1.00246316E-01,1.39977764E+08,6.64764162E+02,4.00000000E-05,-0.00000000E+00,-0.00000000E+00,-5.49274738E-34,-8.20491629E-35,1.30457386E+08,1.30464946E+07,1.30478045E-02,1.30485609E-03,-1.30263591E+08,-1.30257383E+07,-4.71740042E+01,-1.99571407E+01,-0.00000000E+00,-0.00000000E+00,9.60043973E-39,1.21167675E-39,-0.00000000E+00,-0.00000000E+00,9.60043973E-39,1.21167675E-39,-1.96040590E+05,-2.09966646E+04,-8.88658014E+01,-1.30276072E+01,2.24046431E+03,2.39961927E+02,2.16000000E+03,2.40000000E+02,7.76992076E+06,1.63109211E+09
