Time [d],dt_flow [d],dt_tran [d],Global Water Mass [kg],Global Vaq [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,4.89000000E-01,1.39977705E+08,1.39999999E-02,-0.00000000E+00,-0.00000000E+00,1.35276249E-17,2.21675869E-17,1.45124869E+04,2.20220029E+04,1.45147852E-06,2.20254972E-06,1.57893706E+04,2.39596005E+04,1.57918722E-06,2.39634035E-06,-0.00000000E+00,-0.00000000E+00,-1.39305162E-19,-8.75595059E-20,-0.00000000E+00,-0.00000000E+00,4.71846528E-19,5.98069950E-19,-3.36687646E+04,-5.10906898E+04,-3.36748848E-06,-5.10999712E-06,3.36684851E+03,5.10902658E+03,3.36749000E-07,5.11000000E-07,7.76991745E+06,1.39999999E-02
2.00000000E+00,4.88000000E-01,2.32000000E-01,1.39977705E+08,9.99998547E+03,-0.00000000E+00,-0.00000000E+00,-2.85410384E-02,-4.12625325E-02,5.76084131E+04,4.30959538E+04,5.76175622E-06,4.31028047E-06,6.26770736E+04,4.68877313E+04,6.26870302E-06,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,2.99018525E-20,2.20912878E-19,-0.00000000E+00,-0.00000000E+00,1.32607918E-18,9.05669350E-19,-1.33650545E+05,-9.99817802E+04,-2.00029218E-05,-2.27663129E-05,1.33649436E+04,9.99809506E+03,1.00000000E+04,1.00000000E+04,7.76991745E+06,9.99998547E+03
3.00000000E+00,1.00000000E+00,4.88000000E-01,1.39977705E+08,1.99999136E+04,-0.00000000E+00,-0.00000000E+00,-1.00331723E-01,-8.19121012E-02,1.00704367E+05,4.30959538E+04,1.00720367E-05,4.31028047E-06,1.09564805E+05,4.68877313E+04,1.09582216E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,3.75432053E-19,3.86840584E-19,-0.00000000E+00,-0.00000000E+00,2.35570848E-18,1.07072078E-18,-2.33632325E+05,-9.99817802E+04,-1.56264891E-04,-2.01566336E-04,2.33630386E+04,9.99809506E+03,2.00000000E+04,1.00000000E+04,7.76991745E+06,1.99999136E+04
4.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,2.99997900E+04,-0.00000000E+00,-0.00000000E+00,-2.22217168E-01,-1.21885446E-01,1.43800321E+05,4.30959538E+04,1.43823172E-05,4.31028047E-06,1.56452536E+05,4.68877313E+04,1.56477403E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,9.20425944E-19,5.44993891E-19,-0.00000000E+00,-0.00000000E+00,3.58370725E-18,1.22799878E-18,-3.33614105E+05,-9.99817802E+04,-1.89740472E-03,-1.74113983E-03,3.33611337E+04,9.99809506E+03,3.00000000E+04,1.00000000E+04,7.76991745E+06,2.99997900E+04
5.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,3.99996224E+04,-0.00000000E+00,-0.00000000E+00,-3.83565805E-01,-1.61348637E-01,1.86896274E+05,4.30959538E+04,1.86925976E-05,4.31028047E-06,2.03340268E+05,4.68877313E+04,2.03372589E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,1.60824752E-18,6.87821572E-19,-0.00000000E+00,-0.00000000E+00,4.95365911E-18,1.36995186E-18,-4.33595885E+05,-9.99817802E+04,-8.17757921E-03,-6.28017448E-03,4.33592288E+04,9.99809506E+03,4.00000000E+04,1.00000000E+04,7.76991745E+06,3.99996224E+04
6.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,4.99994057E+04,-0.00000000E+00,-0.00000000E+00,-5.83891624E-01,-2.00325818E-01,2.29992228E+05,4.30959538E+04,2.30028781E-05,4.31028047E-06,2.50227999E+05,4.68877313E+04,2.50267775E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,2.41142074E-18,8.03173228E-19,-0.00000000E+00,-0.00000000E+00,6.43808866E-18,1.48442955E-18,-5.33577666E+05,-9.99817802E+04,-2.46474080E-02,-1.64698288E-02,5.33573238E+04,9.99809506E+03,5.00000000E+04,1.00000000E+04,7.76991745E+06,4.99994057E+04
7.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,5.99991309E+04,-0.00000000E+00,-0.00000000E+00,-8.22731469E-01,-2.38839845E-01,2.73088182E+05,4.30959538E+04,2.73131586E-05,4.31028047E-06,2.97115730E+05,4.68877313E+04,2.97162961E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,3.28567501E-18,8.74254263E-19,-0.00000000E+00,-0.00000000E+00,7.99272604E-18,1.55463738E-18,-6.33559446E+05,-9.99817802E+04,-6.06481655E-02,-3.60007574E-02,6.33554189E+04,9.99809506E+03,6.00000000E+04,1.00000000E+04,7.76991745E+06,5.99991309E+04
8.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,6.99987843E+04,-0.00000000E+00,-0.00000000E+00,-1.09964382E+00,-2.76912354E-01,3.16184136E+05,4.30959538E+04,3.16234390E-05,4.31028047E-06,3.44003462E+05,4.68877313E+04,3.44058147E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,4.16471142E-18,8.79036415E-19,-0.00000000E+00,-0.00000000E+00,9.55127308E-18,1.55854703E-18,-7.33541226E+05,-9.99817802E+04,-1.30334364E-01,-6.96861984E-02,7.33535139E+04,9.99809506E+03,7.00000000E+04,1.00000000E+04,7.76991745E+06,6.99987843E+04
9.00000000E+00,1.00000000E+00,1.00000000E+00,1.39977705E+08,7.99983463E+04,-0.00000000E+00,-0.00000000E+00,-1.41420765E+00,-3.14563825E-01,3.59280090E+05,4.30959538E+04,3.59337195E-05,4.31028047E-06,3.90891193E+05,4.68877313E+04,3.90953334E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,4.95442334E-18,7.89711916E-19,-0.00000000E+00,-0.00000000E+00,1.10196237E-17,1.46835061E-18,-8.33523006E+05,-9.99817802E+04,-2.53824823E-01,-1.23490459E-01,8.33516090E+04,9.99809506E+03,8.00000000E+04,1.00000000E+04,7.76991745E+06,7.99983463E+04
1.00000000E+01,1.00000000E+00,1.00000000E+00,1.39977705E+08,8.99977899E+04,-0.00000000E+00,-0.00000000E+00,-1.76602129E+00,-3.51813640E-01,4.02376043E+05,4.30959538E+04,4.02440000E-05,4.31028047E-06,4.37778924E+05,4.68877313E+04,4.37848520E-05,4.68951862E-06,-0.00000000E+00,-0.00000000E+00,5.52661199E-18,5.72188650E-19,-0.00000000E+00,-0.00000000E+00,1.22695798E-17,1.24995614E-18,-9.33504786E+05,-9.99817802E+04,-4.58358592E-01,-2.04533769E-01,9.33497041E+04,9.99809506E+03,9.00000000E+04,1.00000000E+04,7.76991745E+06,8.99977899E+04
