Time [d],dt_flow [d],dt_tran [d],Global Water Mass in Liquid Phas [kg],Global Vaq [mol],Global Vim [mol],Top Water Mass [kg],Top Water Mass [kg/d],Top Vaq [mol],Top Vaq [mol/d],Right Water Mass [kg],Right Water Mass [kg/d],Right Vaq [mol],Right Vaq [mol/d],Left Water Mass [kg],Left Water Mass [kg/d],Left Vaq [mol],Left Vaq [mol/d],North Water Mass [kg],North Water Mass [kg/d],North Vaq [mol],North Vaq [mol/d],South Water Mass [kg],South Water Mass [kg/d],South Vaq [mol],South Vaq [mol/d],ExtractWell Water Mass [kg],ExtractWell Water Mass [kg/d],ExtractWell Vaq [mol],ExtractWell Vaq [mol/d],InjectWell Water Mass [kg],InjectWell Water Mass [kg/d],InjectWell Vaq [mol],InjectWell Vaq [mol/d],Region Region__all Water Mass [kg],Region Region__all Total Mass [kg]
1.00000000E+00,4.89000000E-01,1.05829345E-02,1.39983493E+08,1.23820069E-02,2.94907196E-05,-0.00000000E+00,-0.00000000E+00,1.79110276E-09,2.44387212E-09,1.73988703E+08,1.74078451E+08,1.74000729E-02,1.74090730E-02,-1.73988695E+08,-1.74077958E+08,-1.51042503E-02,-1.36734386E-02,-0.00000000E+00,-0.00000000E+00,7.68037349E-11,1.04793728E-10,-0.00000000E+00,-0.00000000E+00,7.68037349E-11,1.04793728E-10,-8.08102802E+02,-1.22625537E+03,-7.20019172E-08,-1.08277489E-07,8.08117980E+01,1.22627842E+02,8.08197600E-09,1.22640000E-08,7.77023874E+06,1.23820069E-02
2.00000000E+00,4.88000000E-01,1.02859094E-02,1.39982897E+08,1.25184187E+02,2.17426172E-05,-0.00000000E+00,-0.00000000E+00,-1.35298366E-04,-1.89098951E-04,3.48251314E+08,1.74323576E+08,3.48276187E-02,1.74336613E-02,-3.48249742E+08,-1.74322011E+08,-8.74231893E+01,-2.01133999E+02,-0.00000000E+00,-0.00000000E+00,1.81742794E-10,1.04896892E-10,-0.00000000E+00,-0.00000000E+00,1.81742794E-10,1.04896891E-10,-3.20781213E+03,-2.39970677E+03,-7.74002810E-02,-9.37381467E-02,3.20787242E+02,2.39975189E+02,2.40000000E+02,2.40000000E+02,7.77020567E+06,1.25184187E+02
3.00000000E+00,1.00000000E+00,5.03568927E-03,1.39982300E+08,1.25044157E+02,1.60303242E-05,-0.00000000E+00,-0.00000000E+00,-3.24278974E-04,-1.88919105E-04,5.22818260E+08,1.74566946E+08,5.22856933E-02,1.74580746E-02,-5.22815122E+08,-1.74565380E+08,-2.89281155E+02,-2.01733071E+02,-0.00000000E+00,-0.00000000E+00,2.86532513E-10,1.04751810E-10,-0.00000000E+00,-0.00000000E+00,2.86532512E-10,1.04751810E-10,-5.60750865E+03,-2.39969653E+03,-1.71036412E-01,-9.36139309E-02,5.60761405E+02,2.39974164E+02,4.80000000E+02,2.40000000E+02,7.77017252E+06,1.25044157E+02
4.00000000E+00,1.00000000E+00,6.44515894E-03,1.39981699E+08,1.24884836E+02,1.18187717E-05,-0.00000000E+00,-0.00000000E+00,-5.13054200E-04,-1.88715898E-04,6.97628137E+08,1.74809877E+08,6.97681379E-02,1.74824447E-02,-6.97623437E+08,-1.74808315E+08,-4.91207231E+02,-2.01781857E+02,-0.00000000E+00,-0.00000000E+00,3.91187400E-10,1.04618885E-10,-0.00000000E+00,-0.00000000E+00,3.91187408E-10,1.04618896E-10,-8.00719487E+03,-2.39968621E+03,-2.64548750E-01,-9.34902611E-02,8.00734538E+02,2.39973132E+02,7.20000000E+02,2.40000000E+02,7.77013917E+06,1.24884836E+02
5.00000000E+00,1.00000000E+00,7.85378072E-03,1.39981095E+08,1.24726141E+02,8.71368827E-06,-0.00000000E+00,-0.00000000E+00,-7.01632598E-04,-1.88521790E-04,8.72680525E+08,1.75052388E+08,8.72749114E-02,1.75067734E-02,-8.72674267E+08,-1.75050830E+08,-6.93181374E+02,-2.01830452E+02,-0.00000000E+00,-0.00000000E+00,4.95709932E-10,1.04486799E-10,-0.00000000E+00,-0.00000000E+00,4.95709950E-10,1.04486809E-10,-1.04068707E+04,-2.39967584E+03,-3.57937795E-01,-9.33670883E-02,1.04070663E+03,2.39972094E+02,9.60000000E+02,2.40000000E+02,7.77010562E+06,1.24726141E+02
6.00000000E+00,1.00000000E+00,9.26158629E-03,1.39980487E+08,1.24568057E+02,6.42438277E-06,-0.00000000E+00,-0.00000000E+00,-8.90022849E-04,-1.88336176E-04,1.04797502E+09,1.75294496E+08,1.04805974E-01,1.75310625E-02,-1.04796721E+09,-1.75292941E+08,-8.95203409E+02,-2.01878861E+02,-0.00000000E+00,-0.00000000E+00,6.00100931E-10,1.04355532E-10,-0.00000000E+00,-0.00000000E+00,6.00100961E-10,1.04355545E-10,-1.28065361E+04,-2.39966540E+03,-4.51204036E-01,-9.32444022E-02,1.28067768E+03,2.39971050E+02,1.20000000E+03,2.40000000E+02,7.77007188E+06,1.24568057E+02
7.00000000E+00,1.00000000E+00,1.06686016E-02,1.39979875E+08,1.24410569E+02,4.73653329E-06,-0.00000000E+00,-0.00000000E+00,-1.07823306E-03,-1.88158501E-04,1.22351124E+09,1.75536222E+08,1.22361288E-01,1.75553140E-02,-1.22350188E+09,-1.75534671E+08,-1.09727317E+03,-2.01927089E+02,-0.00000000E+00,-0.00000000E+00,7.04361209E-10,1.04225070E-10,-0.00000000E+00,-0.00000000E+00,7.04361249E-10,1.04225080E-10,-1.52061910E+04,-2.39965489E+03,-5.44347949E-01,-9.31221900E-02,1.52064768E+03,2.39969999E+02,1.44000000E+03,2.40000000E+02,7.77003794E+06,1.24410569E+02
8.00000000E+00,1.00000000E+00,1.20748502E-02,1.39979260E+08,1.24253655E+02,3.49212400E-06,-0.00000000E+00,-0.00000000E+00,-1.26627081E-03,-1.87988247E-04,1.39928884E+09,1.75777595E+08,1.39940819E-01,1.75795309E-02,-1.39927793E+09,-1.75776047E+08,-1.29939049E+03,-2.01975141E+02,-0.00000000E+00,-0.00000000E+00,8.08491551E-10,1.04095388E-10,-0.00000000E+00,-0.00000000E+00,8.08491603E-10,1.04095400E-10,-1.76058353E+04,-2.39964432E+03,-6.37369996E-01,-9.30004356E-02,1.76061662E+03,2.39968942E+02,1.68000000E+03,2.40000000E+02,7.77000380E+06,1.24253655E+02
9.00000000E+00,1.00000000E+00,1.34803543E-02,1.39978641E+08,1.24097292E+02,2.57465284E-06,-0.00000000E+00,-0.00000000E+00,-1.45414319E-03,-1.87824937E-04,1.57530749E+09,1.76018649E+08,1.57544535E-01,1.76037166E-02,-1.57529503E+09,-1.76017105E+08,-1.50155524E+03,-2.02023025E+02,-0.00000000E+00,-0.00000000E+00,9.12492724E-10,1.03966466E-10,-0.00000000E+00,-0.00000000E+00,9.12492788E-10,1.03966478E-10,-2.00054690E+04,-2.39963368E+03,-7.30270619E-01,-9.28791199E-02,2.00058450E+03,2.39967878E+02,1.92000000E+03,2.40000000E+02,7.76996945E+06,1.24097292E+02
1.00000000E+01,1.00000000E+00,1.39067381E-03,1.39978019E+08,1.23941451E+02,1.89822190E-06,-0.00000000E+00,-0.00000000E+00,-1.64185682E-03,-1.87668122E-04,1.75156691E+09,1.76259426E+08,1.75172410E-01,1.76278751E-02,-1.75155292E+09,-1.76257885E+08,-1.70376727E+03,-2.02070747E+02,-0.00000000E+00,-0.00000000E+00,1.01636547E-09,1.03838277E-10,-0.00000000E+00,-0.00000000E+00,1.01636554E-09,1.03838288E-10,-2.24050920E+04,-2.39962298E+03,-8.23050238E-01,-9.27582209E-02,2.24055131E+03,2.39966807E+02,2.16000000E+03,2.40000000E+02,7.76993490E+06,1.23941451E+02
