"Time [h]","dt_flow [h]","dt_tran [h]","Global Water Mass [kg]","Global Vaq [mol]","Global Vim [mol]","Bottom Water Mass [kg]","Bottom Water Mass [kg/h]","Bottom Vaq [mol]","Bottom Vaq [mol/h]","Top Water Mass [kg]","Top Water Mass [kg/h]","Top Vaq [mol]","Top Vaq [mol/h]"
1.11111111E-02,2.80555556E-03,1.87500000E-03,8.74822952E-01,3.48420600E-02,3.21850818E-04,3.49930204E-02,3.14937324E+00,3.51668170E-02,3.15304113E+00,-2.92925264E-03,-3.14937324E+00,-2.67716876E-13,-3.10175616E-10
2.22222222E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,6.89736015E-02,1.19256391E-03,6.99860564E-02,3.14937324E+00,7.01769922E-02,3.15039153E+00,-3.79222887E-02,-3.14937324E+00,-3.67933342E-12,-3.04995619E-10
3.33333333E-02,2.77777778E-03,1.38888889E-03,8.74822952E-01,1.02561114E-01,2.59532916E-03,1.04979092E-01,3.14937324E+00,1.05180130E-01,3.15025493E+00,-7.29153247E-02,-3.14937324E+00,-7.03643095E-12,-3.00220516E-10
4.44444444E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,1.35610652E-01,4.53067390E-03,1.39972128E-01,3.14937324E+00,1.40182898E-01,3.15024768E+00,-1.07908361E-01,-3.14937324E+00,-1.03411005E-11,-2.95640778E-10
5.55555556E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,1.68131299E-01,6.98986565E-03,1.74965164E-01,3.14937324E+00,1.75185646E-01,3.15024723E+00,-1.42901397E-01,-3.14937324E+00,-1.35946400E-11,-2.91127797E-10
6.66666667E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,2.00139542E-01,9.95651444E-03,2.09958200E-01,3.14937324E+00,2.10188393E-01,3.15024720E+00,-1.77894433E-01,-3.14937324E+00,-1.67990175E-11,-2.86862694E-10
7.77777778E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,2.31643455E-01,1.34225469E-02,2.44951236E-01,3.14937324E+00,2.45191139E-01,3.15024720E+00,-2.12887469E-01,-3.14937324E+00,-2.00220328E-11,-2.98160713E-10
8.88888889E-02,2.77777778E-03,2.77777778E-03,8.74822952E-01,2.62650986E-01,1.73800167E-02,2.79944273E-01,3.14937324E+00,2.80193886E-01,3.15024719E+00,-2.47880505E-01,-3.14937324E+00,-2.56918653E-11,-8.23362157E-10
1.00000000E-01,2.77777778E-03,2.77777778E-03,8.74822952E-01,2.93169957E-01,2.18211030E-02,3.14937309E-01,3.14937324E+00,3.15196633E-01,3.15024719E+00,-2.82873541E-01,-3.14937324E+00,-8.69446749E-11,-1.17770826E-08
1.11111111E-01,2.77777778E-03,2.77777778E-03,8.74822952E-01,3.23208065E-01,2.67381080E-02,3.49930345E-01,3.14937324E+00,3.50199379E-01,3.15024719E+00,-3.17866577E-01,-3.14937324E+00,-9.77152074E-10,-1.64005923E-07
1.22222222E-01,2.77777778E-03,2.77777778E-03,8.74822952E-01,3.52772879E-01,3.21234552E-02,3.84923381E-01,3.14937324E+00,3.85202126E-01,3.15024719E+00,-3.52859613E-01,-3.14937324E+00,-1.06472924E-08,-1.67286072E-06
1.33333333E-01,2.77777778E-03,2.77777778E-03,8.74822952E-01,3.81871797E-01,3.79696872E-02,4.19916417E-01,3.14937324E+00,4.20204872E-01,3.15024719E+00,-3.87852649E-01,-3.14937324E+00,-8.95485057E-08,-1.28473512E-05
1.44444444E-01,2.77777778E-03,2.77777778E-03,8.74822952E-01,4.10511811E-01,4.42694605E-02,4.54909453E-01,3.14937324E+00,4.55207619E-01,3.15024719E+00,-4.22845685E-01,-3.14937324E+00,-5.90018060E-07,-7.69752188E-05
